word,Delta-E-CIE-2000
sun,12.088967721987329
lemon,13.757898191238475
tomato,14.56757007544807
chalk,14.726231234621514
bone,16.20801914724845
spinach,18.034321867198276
mirror,18.53509741375751
fire,19.053721410100767
vegetable,19.27103535206974
skin,20.001592110011817
tree,20.730255642271516
rose,21.110612047873097
fork,21.322941351610368
ocean,21.344365285575023
daffodil,21.679523795133303
window,21.71399520726001
elephant,22.193727280901935
hell,22.299246030459596
jeans,22.332389771835924
clarity,22.421897463171888
cockroach,24.223452641999216
road,24.394838992369824
needle,24.572054813709226
cigar,24.616984993786172
staple,25.455198055470376
cornflour,25.616406828250298
vagueness,25.62649258243982
panther,25.77973144059243
hate,25.99285704831372
weapon,26.043010356385007
moose,26.163933488893072
lobster,26.94609877497259
inflamation,27.01560920668846
love,27.04960885872375
stethoscope,27.088088023402392
toilet,27.206896053292958
bread,27.23948689030548
tortoise,27.29207809537546
bus,27.29417091355098
wilderness,27.301794961173464
kangaroo,27.4571505379368
flesh,27.594076171792075
belt,27.778385262812723
dream,27.796853265210935
rock,27.797510601551796
pain,27.8061878977733
hammer,27.98095113663728
romance,28.062802816703098
iron,28.305559820851055
hill,28.506693698516784
microscope,28.59198342273152
shampoo,28.770407334522915
heaven,28.868478856175354
computer,29.025122900973198
shirt,29.22612257702066
warehouse,29.401726838894195
leg,29.410531854398403
cabinet,29.67802781654517
razor,29.713233367021
toast,29.917158180239603
unicorn,29.94735372982235
otter,29.953226528091314
suit,29.980034996744433
apple,30.055904340379858
chair,30.089617436445984
berry,30.106102886582693
shyness,30.353799072663655
necklace,30.371022945124754
tripod,30.375162745361465
crab,30.40833020952217
sadness,30.664719221237647
trouble,30.807944764983343
relief,30.827756314388704
train,30.916781586820484
disgust,30.93728008458445
revolt,30.986270343283568
notion,31.194372290540958
windmill,31.224678006166005
fear,31.2264363483769
badger,31.229090181552518
dread,31.397839980484704
fish,31.549940172399666
divinity,31.668647499765772
gist,31.80023252445581
passion,32.004625734577274
ferret,32.0058709807585
harp,32.01426495008961
canyon,32.043064998383095
theory,32.162077295213365
memory,32.41429120208774
prune,32.47862179305866
building,32.628130370478864
hawk,32.69507971672155
discretion,32.96641618210158
blessing,32.98632878808916
cow,33.10693095373592
despair,33.20867244878189
suffering,33.28633101427075
tendency,33.34339360840496
seat,33.511681674647235
viciousness,33.58716811719617
insect,33.71573800835778
toe,33.752375110744964
drums,33.7718967628279
barley,33.81358052689054
boat,33.817348351670844
tarantula,33.91384224315978
chest,33.93362651244105
horn,34.14072885501433
couch,34.145210152816745
grape,34.15731616987499
democracy,34.18137830419473
wisdom,34.38650040841192
opinion,34.3873269091684
shoes,34.39363312501065
reality,34.40810027252236
imagination,34.57442982404334
appearance,34.59306824778312
bracelet,34.612355367835086
embarrassment,34.7256772828737
modesty,34.85381301937726
bunkbed,34.88959012039768
communication,34.92682161492751
muscle,34.963009796889686
pheasant,35.19120345768789
glee,35.338352044184525
thistle,35.34137138385912
earphones,35.35274315628774
stomach,35.40047220708085
flag,35.4434214543436
optimism,35.50923080084091
weariness,35.55303588437063
gloom,35.578565700774796
corpse,35.584535913633204
butterfly,35.67746126609132
friendliness,35.72968940680442
thoughtlessness,35.75549494250095
faith,35.86408572476551
glamour,35.997340303660074
tie,36.006609142859986
beauty,36.016291283102014
defiance,36.09395025337494
elegance,36.161157040667064
energy,36.17229391464758
ache,36.24442562225603
equality,36.252142086470776
reassurance,36.391865702095814
joy,36.402832869206854
verb,36.60322854154726
obligation,36.60868700790552
magazine,36.665011134527795
book,36.71358587849679
hairdryer,36.77483030142173
discomfort,36.78021414643254
obviousness,36.813475525125504
noun,36.84390898134818
adoration,36.85347613990412
chaos,36.942783576925905
sanity,37.07037021360096
mysterious,37.17070818299232
mansion,37.635415738915505
positivity,37.851760039156545
purse,38.13807596682885
surprise,38.14726826533851
magic,38.169992551095135
diner,38.187791918119345
oddity,38.22592913592182
randomness,38.27268952737581
misconception,38.32349406261583
peculiarity,38.46409454030178
regret,38.556009452310896
desire,38.592700314522844
craziness,38.63044543244557
playfulness,38.685182856602076
happiness,38.87582312907879
loyal,38.97828355946255
robin,38.98310843567734
admiration,39.01663923666695
freedom,39.08654716365967
success,39.148571572878694
diversity,39.28099075126344
temptation,39.307143826551865
justice,39.3118497901802
absurdity,39.37321162917003
fame,39.55910137680218
humiliation,39.56160210750292
noblity,39.61175629557502
anxiety,39.63685387386001
responsibility,39.64359933370756
excitement,39.65449657220104
jealousy,39.89390614494607
complexity,39.975553086764535
insanity,39.984092127555975
speed,40.112704161596874
heroism,40.490852865491135
gossip,40.53579107772063
urge,40.71265782022411
ego,40.8831515326766
pride,41.09222080864587
