word,Delta-E-CIE-2000
sun,642.3347589387885
lemon,706.8255047401514
bone,838.953138325707
chalk,842.6699742518007
mirror,901.5487921720627
vegetable,965.2448972504516
skin,966.6824438956023
tomato,968.1153178140484
tree,969.9561940189026
fire,1063.063680028204
rose,1125.3012170118768
fork,1134.231525818369
ocean,1161.3692098601668
jeans,1179.7870881893841
daffodil,1259.2924572162094
panther,1270.964975222932
cockroach,1276.549713742751
love,1298.4415227947643
window,1316.2997378181994
needle,1319.2530426909157
toast,1320.7874126928373
spinach,1337.897319367892
cornflour,1345.624926313171
bus,1363.0891495061528
cigar,1391.1083664948167
lobster,1399.279533226345
clarity,1407.0148834405506
vagueness,1408.9182931946334
tortoise,1412.2266290727616
staple,1412.4502911676175
moose,1422.904802400483
rock,1432.6133672423182
flesh,1438.2773323871722
hammer,1453.7878547534083
unicorn,1465.2957266921046
belt,1483.180077892874
bread,1485.317612074299
romance,1494.670096747814
hill,1495.451798822257
kangaroo,1496.8994117531101
shampoo,1501.2345926603302
wilderness,1502.5386947159154
hell,1516.19273822369
shyness,1530.3575931901141
apple,1532.320195282665
dream,1535.1204724024647
heaven,1542.885297379663
pain,1545.8731164711412
revolt,1554.223291968221
iron,1563.1249952515666
suit,1563.2528030856258
elephant,1574.9700803494957
sadness,1578.8119689446237
berry,1589.7251293570237
chair,1595.9183774701628
dread,1597.0440344944839
weapon,1598.9694400836213
trouble,1600.3285990287682
warehouse,1614.2376234686324
badger,1629.944835489654
cabinet,1633.1720657099413
computer,1634.41638856931
windmill,1634.5275086973659
viciousness,1644.7216113510285
modesty,1649.876098964026
crab,1656.2604045148378
passion,1660.800819830003
canyon,1669.216022565625
road,1669.5615071969194
train,1671.2001268359613
tarantula,1683.331948266024
building,1693.0866303520593
notion,1693.8343862055806
inflamation,1697.7552146603402
fish,1699.31108656286
ferret,1706.7842243991138
fear,1717.885031913102
toe,1721.0661548331336
hate,1727.3080817360533
harp,1727.6883528268797
ache,1733.3410107445989
suffering,1735.3369869669561
hawk,1751.33693145692
barley,1751.510132554032
democracy,1753.418949863077
magazine,1753.6936943102482
bracelet,1755.3175140798887
bunkbed,1757.5651064965673
pheasant,1771.4806945902128
despair,1784.9530346038612
sanity,1788.8247108766745
relief,1792.0664455742296
muscle,1794.0267561079174
corpse,1796.9449576259406
prune,1797.9044542434551
theory,1808.2879915360766
tie,1808.9668275123213
gloom,1812.1211527448734
noun,1812.5009585100263
discomfort,1818.140257680251
memory,1818.2741801905988
couch,1823.130548988539
blessing,1823.491343614568
chaos,1825.2864491416449
chest,1827.082944104477
weariness,1827.979758812619
optimism,1829.5511256789127
communication,1830.0771971496924
glee,1838.3256316652783
appearance,1840.2052659699161
shirt,1845.9727195710811
boat,1846.48031393957
horn,1847.469258927845
equality,1847.6446179185555
seat,1851.637790259389
embarrassment,1856.6612484904472
drums,1865.6894852218545
divinity,1867.7252249907858
hairdryer,1888.1105584196828
flag,1888.777681132055
faith,1891.416523784753
regret,1904.7218940599005
diner,1905.9786982187134
glamour,1912.3447386396494
butterfly,1918.9746109361718
reassurance,1923.8524935862856
toilet,1924.8781378927379
elegance,1926.5520233862342
reality,1931.0552307400399
defiance,1935.2783252768104
earphones,1942.2598465342842
stethoscope,1942.6890358299377
anxiety,1945.3584188518864
verb,1946.322521337993
noblity,1948.5289709782696
misconception,1948.9497391887592
discretion,1954.1637446374307
razor,1960.5629901871366
thoughtlessness,1962.610131108222
joy,1966.218448291753
magic,1974.7948647987419
playfulness,1983.2902700597851
randomness,1985.5973799992476
otter,1987.3005055300462
mansion,1989.4604369812103
purse,1993.978098925801
loyal,1994.5629316218278
necklace,2018.4479767667624
obligation,2029.1052567738427
robin,2031.6825591243444
humiliation,2032.5817234515146
desire,2037.2550718966634
energy,2043.5512388744296
adoration,2049.4647875788887
peculiarity,2057.4229793867844
insanity,2071.5469141794633
admiration,2073.0206105385123
temptation,2075.5601304076126
success,2076.4852249295336
diversity,2083.1382833263847
freedom,2089.1445861306142
oddity,2090.3457494932472
speed,2095.138398465146
microscope,2096.79907929968
leg,2099.0241314233554
craziness,2105.7443658671514
urge,2114.9466336425176
absurdity,2122.977240111449
pride,2141.7183351952626
fame,2142.1316291341495
disgust,2144.712652671618
excitement,2160.877253550154
ego,2161.378676026272
shoes,2173.0074089684185
gossip,2173.0747896996127
tripod,2197.5737399551936
heroism,2211.759235504159
insect,2235.7486850199793
gist,2254.1997466216453
cow,2267.066674042638
grape,2269.7417863396013
imagination,2334.211955806968
opinion,2339.474586909486
tendency,2349.1162309115825
stomach,2419.67838841074
thistle,2422.4769648964634
mysterious,2441.8060539238977
beauty,2468.7534492852187
wisdom,2473.9902927992107
surprise,2487.325290310457
positivity,2501.068149026528
obviousness,2514.029932117576
happiness,2521.326310849023
responsibility,2560.409048476648
friendliness,2581.8238325305415
justice,2608.4054321212607
jealousy,2637.605147826604
complexity,2665.892187594704
book,4353.661618477789
