word,block1
chalk,597.2467310450841
sun,772.074647837368
lemon,782.8802051495135
bone,791.8004944546326
fork,847.33162925376
rose,972.634669535488
rock,988.8267852243057
computer,1136.6567627953248
sadness,1151.287633317782
staple,1187.6068222764582
belt,1235.7228332174186
tarantula,1334.7660657192846
gloom,1439.3870831142572
toe,1464.9118082851805
shampoo,1491.928681472848
heaven,1528.8092460094285
romance,1535.9593376877024
corpse,1580.2748949381526
boat,1784.6307328338762
pain,1802.3717356520835
appearance,1841.3122392371542
ache,1996.493539806282
barley,2027.9487478310543
relief,2061.7104939544024
pheasant,2102.2590210814997
mansion,2111.098327745076
divinity,2191.4028527150294
fish,2204.1425393508725
optimism,2338.0551896028655
loyal,2468.890116674108
faith,2559.111873193945
playfulness,2621.5951480865215
desire,2791.879150132884
temptation,2840.703079179141
urge,2930.6721843873956
energy,2944.6703789670587
success,2984.2226974612886
heroism,3008.5600981735006
robin,3022.2817228316117
excitement,3129.2162596187236
