word,block2
chalk,575.5548409318053
bone,690.895314575045
fork,767.447649760403
sun,824.8618402726927
lemon,856.7942373693691
rose,958.8635129306938
computer,966.2994415735994
staple,979.0344825759582
rock,1124.602735688556
belt,1218.5711387365022
sadness,1322.0116940877917
heaven,1353.7434236819313
gloom,1465.8175404762176
shampoo,1493.117078231882
tarantula,1544.2437267526045
toe,1560.200239969458
corpse,1613.9453346525831
romance,1679.1924322863856
pain,1768.7857769061416
boat,1792.028272343168
relief,1846.0494688413999
appearance,1958.119779862744
barley,1961.4468502684128
pheasant,2011.334093822692
fish,2082.480717941074
divinity,2128.7169332160784
mansion,2147.7464902623456
ache,2305.9805759355013
faith,2500.807281451932
optimism,2566.132303743126
playfulness,2626.002794826085
desire,2652.8418944181567
energy,2687.696058677261
temptation,2701.638765024384
loyal,2778.562159403703
heroism,2919.9180842229166
urge,2947.5921412058265
excitement,2979.750921172096
success,3001.5091714596465
robin,3091.689807781052
