word,both
chalk,588.7267591858118
bone,744.0810058722334
sun,800.6346505481781
fork,809.805870431868
lemon,822.1148095676087
rose,968.5999135471524
computer,1053.3694016859877
rock,1060.776872072714
staple,1089.7903892001189
belt,1229.7911678818978
sadness,1239.1538634136157
heaven,1442.7195723620139
tarantula,1446.7640771451615
gloom,1481.3714041203536
shampoo,1496.161931392695
toe,1516.63883198839
corpse,1597.5190539710757
romance,1609.9276577829653
boat,1788.9294066747148
pain,1789.2960929075505
appearance,1913.7782732675987
relief,1954.6052380389915
barley,1996.0186251910063
pheasant,2057.433804607656
mansion,2130.6902114657223
ache,2155.1120174492776
fish,2160.0857100203725
divinity,2170.0880801380445
optimism,2460.478956180465
faith,2533.145498207554
playfulness,2642.657303539829
loyal,2652.9942826207484
desire,2724.8935694548945
temptation,2782.929086109505
energy,2834.889720098924
urge,2943.448738039539
heroism,2975.495330056257
success,2995.6463067864297
robin,3069.1031009421495
excitement,3096.790405966082
