word,both
chalk,507.8777091182071
elephant,659.2100424123923
mirror,667.2740077700628
bone,692.3303722416597
tomato,699.9962560255918
sun,733.0424373985336
ocean,760.2940374386303
road,766.0547627365488
lemon,782.1832587623678
jeans,783.6428533963838
fire,830.9224212419792
skin,834.3421211461286
fork,865.2020928541957
spinach,893.062458128469
vegetable,914.6452966033817
rose,948.0264573193604
window,966.6343117621391
cockroach,988.1426191215816
tree,1008.5231807237327
stethoscope,1025.8370036347646
cigar,1052.557191071522
rock,1069.0315090007848
computer,1072.0033250477475
vagueness,1087.3491960854296
panther,1112.7836324277112
hammer,1121.2059184719446
suit,1121.557832304933
needle,1126.9532619985316
toilet,1128.309330850318
clarity,1136.5841437830875
iron,1155.1033741783183
moose,1164.9311819959607
staple,1180.0789246564063
microscope,1197.0804798304966
belt,1208.3249311104767
hell,1217.4688913313241
toast,1220.766519581811
weapon,1242.1149760476574
bread,1256.6567565248392
otter,1263.870313508868
sadness,1282.1245550732597
tripod,1291.6283961173713
tortoise,1319.1981187195038
dream,1342.7502652803628
kangaroo,1349.4438492527402
razor,1368.883748454246
unicorn,1401.6370418460806
cabinet,1405.4886346761082
shyness,1419.999481040729
flesh,1423.3307955452165
wilderness,1423.9021326912812
warehouse,1431.889034596841
dread,1433.9628894639584
shoes,1453.1324694040895
chair,1462.1725558260134
heaven,1467.5404777428598
love,1468.1384156641398
earphones,1469.4703633401618
shampoo,1482.3736124098023
cow,1495.3305604694663
ferret,1505.6344348984921
daffodil,1506.8301082889407
train,1509.6715470569582
hate,1516.4507430126325
tarantula,1532.634841857251
hill,1532.9169972303166
leg,1549.6731800984494
modesty,1563.0699928717463
badger,1564.3118083363993
gloom,1566.055668872307
toe,1571.0702808241576
inflamation,1575.8947791503738
romance,1577.9899668001303
despair,1578.8119471539962
building,1603.9798724559564
disgust,1616.9867700701916
couch,1641.325855104096
windmill,1673.9994984657983
gist,1675.394793669427
corpse,1692.584436614452
seat,1702.6372092574843
hawk,1706.2799117096502
weariness,1714.9696421534125
hairdryer,1723.4155953198294
notion,1753.9684573703553
theory,1761.279542181699
lobster,1762.024772815064
insect,1763.8258920771386
pain,1766.9492383454644
cornflour,1773.6206747433332
thoughtlessness,1775.3121630848568
boat,1788.4617144111066
discretion,1810.9920314469432
mysterious,1812.4523673996623
berry,1816.9330683506355
bunkbed,1822.2741078893227
chest,1823.5476501500784
suffering,1830.8922920685345
canyon,1831.702900368828
shirt,1838.0455901522405
book,1853.9109625690141
drums,1867.9088266507804
noun,1890.8721353477717
wisdom,1919.8810398700125
elegance,1921.8718877203023
relief,1931.3617413050295
crab,1932.2720304622321
fear,1944.3951483583114
trouble,1945.9733964810707
beauty,1946.482823164026
memory,1949.2774467725662
tendency,1953.5474325957462
tie,1961.2931581130424
muscle,1961.6172669854034
revolt,1998.260755356712
appearance,2010.0425706424187
barley,2016.998653538536
stomach,2021.3576787275424
harp,2030.8372338489407
imagination,2033.4156440779861
purse,2038.3268293071428
pheasant,2044.7703125570015
viciousness,2049.600308715969
prune,2064.829647322553
bus,2065.9826126229664
fish,2076.5497586083643
divinity,2079.9479631294366
equality,2080.7555112842156
opinion,2091.57597376587
magazine,2092.847123692082
passion,2093.099797957418
necklace,2095.079096597805
sanity,2106.525456110955
ache,2109.082517141048
regret,2111.0077485085326
reassurance,2112.4365353300454
thistle,2132.797259130744
discomfort,2137.481583868785
apple,2146.2127383839525
mansion,2155.6203687388142
misconception,2156.6660002216936
blessing,2162.6737825129344
horn,2165.4915928576947
chaos,2184.017502680559
bracelet,2219.970983728055
democracy,2231.4589161092217
embarrassment,2236.5458443008697
magic,2271.8823889239666
oddity,2274.8592774723184
randomness,2282.7489890458346
obligation,2291.457113170709
grape,2294.9948600115226
reality,2304.1783687619545
glamour,2316.2848737098047
adoration,2333.036274935317
humiliation,2333.865077985314
responsibility,2335.205474955629
noblity,2362.327786627761
communication,2369.9898663331414
glee,2371.1158802908003
insanity,2392.423592409962
complexity,2401.7417331680977
faith,2420.264944973229
diversity,2420.886733858042
justice,2420.9267178535583
obviousness,2424.9995015155982
friendliness,2446.13593613989
peculiarity,2468.102454899874
absurdity,2475.720149318125
optimism,2501.2123502956356
verb,2515.7272376257624
admiration,2527.5239126025217
gossip,2542.3225305412334
defiance,2582.126771329232
anxiety,2590.0580738948183
loyal,2599.5732858523725
surprise,2624.676415019072
diner,2631.4390848149164
positivity,2649.1915852232232
playfulness,2657.4900101850126
joy,2664.23765499155
craziness,2688.062105368729
desire,2712.9373636281534
jealousy,2727.929443832595
happiness,2737.9729864619876
temptation,2750.343933946532
ego,2769.2850558358923
butterfly,2786.69993214836
flag,2797.8835831913957
energy,2830.2041099212233
speed,2899.3369051568266
urge,2926.0215732878023
pride,2962.069277571614
success,2985.226996361852
heroism,2987.7257278856678
freedom,2988.1486046901973
robin,3005.6357459618675
fame,3092.9776228141227
excitement,3125.639717670939
