familiarity threshold = 4.0

WORD  IMAG  CNC  FAM
lark (bird):  5.620700  6.548400  5.000000
barley:  5.828600  6.545500  6.576900
case (container):  5.909100  6.548400  5.758600
corpse:  5.967700  6.607100  5.818200
harbour:  6.062500  6.575800  4.971400
thistle:  6.071400  6.592600  5.300000
ceiling:  6.096800  6.727300  5.222200
stool (chair):  6.121200  6.666700  5.923100
calf (muscle):  6.121200  6.575800  5.133300
file (tool):  6.125000  6.633300  6.083300
pheasant:  6.125000  6.617600  5.407400
weapon:  6.129000  6.548400  4.392900
prune (fruit):  6.147100  6.636400  6.520000
organ (liver):  6.151500  6.647100  5.151500
tripod:  6.176500  6.558800  6.375000
cornflour:  6.181800  6.718800  4.258100
squash (vegetable):  6.205900  6.727300  6.612900
bar (metal):  6.212100  6.588200  6.741900
motorway:  6.233300  6.607100  5.935500
abdomen:  6.235300  6.606100  5.612900
shampoo:  6.241400  6.629600  4.285700
moose:  6.250000  6.580600  5.906300
hawk:  6.258100  6.709700  4.553600
panther:  6.264700  6.757600  4.843800
seat:  6.264700  6.666700  6.555600
counter (worktop):  6.264700  6.562500  5.482800
flesh:  6.266700  6.666700  5.363600
stethoscope:  6.280000  6.750000  4.592600
insect:  6.294100  6.645200  5.241400
bunk (bed):  6.303000  6.558800  6.000000
belt:  6.307700  6.592600  6.000000
cockroach:  6.320000  6.692300  5.181800
hill:  6.320000  6.681800  5.766700
windmill:  6.322600  6.580600  5.812500
ferret:  6.333300  6.814800  5.323500
chest (torso):  6.333300  6.705900  5.741900
cabinet (closet):  6.333300  6.689700  5.677400
berry:  6.342900  6.562500  5.030300
eel:  6.343800  6.575800  5.866700
elbow:  6.357100  6.741900  5.677400
tram:  6.357100  6.714300  4.176500
calf:  6.363600  6.617600  6.593800
mansion:  6.379300  6.592600  5.774200
ocean:  6.381000  6.571400  6.760000
magazine:  6.384600  6.733300  4.636400
iron (metal):  6.387100  6.727300  6.733300
book (read):  6.387100  6.562500  4.484800
canyon:  6.393900  6.617600  6.419400
rock:  6.393900  6.617600  6.606100
harp (instrument):  6.400000  6.771400  6.100000
limb (body):  6.406300  6.705900  5.362100
needle:  6.411800  6.714300  6.678600
horn:  6.411800  6.617600  6.291700
microscope:  6.411800  6.575800  4.300000
stool:  6.411800  6.562500  4.181800
tank (army):  6.419400  6.787900  4.161300
bracelet:  6.419400  6.735300  6.227300
warehouse:  6.419400  6.676500  4.840000
coach (bus):  6.424200  6.718800  4.615400
shoes:  6.424200  6.600000  6.000000
goat:  6.428600  6.846200  4.296300
badger:  6.433300  6.645200  4.965500
razor:  6.448300  6.633300  4.161300
chalk:  6.461500  6.678600  6.100000
mirror:  6.470600  6.588200  4.500000
suit (special clothes):  6.484800  6.566700  5.333300
spinach:  6.500000  6.750000  6.307700
staple (stationery):  6.514300  6.558800  6.333300
necklace:  6.529400  6.687500  4.181800
jeans:  6.538500  6.851900  4.655200
wrist:  6.551700  6.656300  5.766700
book:  6.565200  6.777800  4.913800
tomato:  6.580600  6.800000  5.040000
cigar:  6.592600  6.620700  5.857100
tie (neck):  6.606100  6.727300  5.787900
shirt:  6.619000  6.807700  5.777800
crab:  6.633300  6.781300  6.363600
tarantula:  6.647100  6.866700  5.838700
toilet:  6.657100  6.818200  6.218800
fork:  6.671900  6.609400  6.125000
window:  6.685700  6.742900  5.806500
lobster:  6.700000  6.764700  4.903200
drums:  6.714300  6.740700  6.133300
building:  6.727300  6.812500  5.272700
tortoise:  6.740700  6.785700  5.633300
hairdryer:  6.750000  6.852900  6.142900
earphones:  6.766700  6.833300  5.121200
otter:  6.781300  6.787900  4.705900
hippopotamus:  6.793100  6.882400  4.965500
toe:  6.806500  6.823500  5.620700
dolphin:  6.818200  6.838700  5.935500
kangaroo:  6.833300  6.888900  6.181800
boat:  6.844800  6.734400  5.451600
elephant:  6.859600  6.883300  5.235300
toaster:  6.871000  6.871000  5.200000
orange (fruit):  6.885700  6.657100  5.357100
hand:  6.900000  6.657100  4.838700
daffodil:  6.911800  6.764700  5.344800
computer:  6.925900  6.718800  4.192300
loaf (bread):  6.939400  6.838700  6.200000
