familiarity threshold = 4.0

WORD  IMAG  CNC  FAM
misconception:  1.928600  2.200000  5.103400
theoretical:  1.967700  2.060600  5.482800
vague:  2.000000  1.875000  4.103400
rather:  2.032300  2.516100  4.516100
gist:  2.057100  2.264700  5.548400
notion:  2.096800  2.125000  4.187500
might (possibly):  2.147100  2.117600  5.333300
abstract:  2.171400  1.714300  6.281300
thoughtless:  2.205900  2.205900  5.906300
absurd:  2.233300  2.064500  6.666700
troubling:  2.290300  2.677400  5.266700
random:  2.312500  1.935500  5.758600
divine:  2.344800  1.935500  6.333300
tendency:  2.382400  2.676500  5.937500
incredible:  2.424200  2.406300  5.193500
omit:  2.454500  2.593800  4.125000
complex:  2.484800  2.545500  4.766700
uphold:  2.529400  2.647100  4.592600
obvious:  2.558800  2.714300  5.814800
obliging:  2.600000  2.451600  4.344800
urge:  2.636400  2.750000  4.290300
defy:  2.666700  2.741900  5.406300
lend:  2.700000  2.750000  4.697000
pride (feeling):  2.733300  2.343800  5.857100
attribute:  2.771400  2.735300  6.000000
outstanding:  2.806500  2.312500  5.466700
discretion:  2.843800  2.393900  5.096800
dread:  2.875000  2.500000  6.266700
repent:  2.909100  2.666700  5.240000
disloyal:  2.942900  2.657100  4.920000
loyalty:  2.971400  2.176500  6.750000
wise:  3.000000  2.718800  5.272700
sanity:  3.057100  2.500000  6.100000
relate:  3.085700  2.647100  5.812500
odd:  3.117600  2.470600  5.321400
appearance:  3.156300  2.545500  4.882400
uncomfortable:  3.187500  2.677400  6.758600
wing (improvise):  3.225800  2.628600  6.133300
ego:  3.258100  2.454500  5.531300
modest:  3.294100  2.571400  4.562500
imaginative:  3.323500  2.264700  6.357100
optimistic:  3.363600  2.757600  4.933300
social:  3.400000  2.727300  5.419400
beware:  3.433300  2.406300  4.965500
adorable:  3.468800  2.258100  5.300000
temptation:  3.500000  2.742900  4.558800
reassuring:  3.545500  2.515200  6.419400
blessing:  3.575800  2.722200  5.323500
vicious:  3.612900  2.718800  6.242400
admire:  3.645200  2.709700  4.800000
diverse:  3.676500  2.484800  5.892900
uplifting:  3.714300  2.657100  6.151500
humiliate:  3.750000  2.090900  5.960000
gloom:  3.787900  2.617600  5.031300
famous:  3.818200  2.545500  4.580600
embarrass:  3.852900  2.705900  4.705900
suicidal:  3.885700  2.727300  4.300000
dopey:  3.935500  2.697000  4.032300
revolting:  3.968800  2.531300  4.607100
heroism:  3.970600  2.705900  4.161300
jealousy:  4.029400  2.676500  6.100000
fame:  4.062500  2.677400  6.030300
sadness:  4.096800  2.757600  4.562500
aroused:  4.147100  2.636400  5.071400
dreams:  4.161300  2.600000  5.656300
sulky:  4.212100  2.750000  6.181800
weirdo:  4.228600  2.685700  5.482800
insane:  4.272700  2.527800  4.354800
beauty:  4.312500  2.593800  5.677400
insanity:  4.343800  2.483900  5.923100
suffer:  4.382400  2.617600  5.968800
love:  4.393900  2.718800  6.096800
painful:  4.454500  2.705900  4.785700
passionate:  4.485700  2.562500  4.871000
afraid:  4.515200  2.685700  4.272700
glee:  4.529400  2.735300  6.142900
chaotic:  4.617600  2.714300  4.793100
loving:  4.636400  2.617600  5.483900
successful:  4.500000  2.676500  6.178600
magic:  4.878800  2.117600  5.500000
excited:  4.500000  2.617600  5.222200
romantic:  4.969700  2.697000  5.625000
elegant:  5.093800  2.516100  5.357100
sad:  5.093800  2.411800  4.969700
hell:  5.142900  2.205900  5.310300
happy:  4.500000  2.593800  5.586200
beautiful:  5.393900  2.515200  5.030300
nut (crazy person):  4.457100  2.562500  5.741900
goofy:  4.437500  2.727300  5.923100
vision (dream):  4.375000  2.656300  5.933300
happily:  4.363600  2.272700  4.516100
shy:  4.352900  2.727300  5.620700
friendly:  4.323500  2.697000  5.633300
playful:  4.322600  2.742900  4.928600
disgusting:  4.303000  2.742900  4.250000
heaven:  4.303000  2.314300  6.032300
glamorous:  4.281300  2.666700  5.968800
foul (disgusting):  4.264700  2.647100  4.344800
magical:  4.257100  1.911800  5.655200
spell (magical):  4.228600  2.428600  5.354800
