word,aID,deltaE
lemon,3MB8LZR5BFTKJNP4PN2ZH0WP6R6KLK,0.0
lemon,3MMN5BL1WZ4YT7ZI4TBF0RUCVAWM3Z,18.072105225476655
lemon,3MRNMEIQW56C5HJUX6GCDN1ZMI3LD2,46.39621470934726
lemon,3N1FSUEFL50G79C9REHVR6ZO023D48,0.0
lemon,3N8OEVH1FRQBFZDG07AKGYHSL18OOC,0.0
lemon,3NAPMVF0ZWFQNMWCWNVLYZSUU7272Z,0.0
lemon,3NGI5ARFTT5847IG95POT29A21XP1M,0.0
lemon,3NGI5ARFTT5847IG95POT29A2V1P1E,0.0
lemon,3NJM2BJS4W6SRASEP2E8AYS16STPC5,0.0
lemon,3NL0RFNU0FNOLFIJJV3IVJUEK51K4H,54.42187370501882
lemon,3NL0RFNU0FNOLFIJJV3IVJUEK55K4L,0.0
lemon,3NXNZ5RS1AX1N6HBHWA08M080DC97T,18.072105225476655
lemon,3OUYGIZWR7Y8XIXYDMLOFXQ0X3VP0B,0.0
lemon,3OUYGIZWR7Y8XIXYDMLOFXQ0X9RP0J,0.0
lemon,3OWEPKL089CMC8L5I6T5QNVS52WN79,0.0
lemon,3PDJHANYK5GBYCLPWYT0FPY0OF0H6S,18.072105225476662
lemon,3PPTZCWALQKQZF43HTD5L1JWK6WZQ0,0.0
lemon,3PQMUDRV7R6RNRRA4HKAC4PKXJJIIP,0.0
lemon,3QILPRALQ5VQCMQOSBLB4NRNGM2N8W,26.210799341585872
lemon,3QJOXOW4XJR135FFTDSBJIY9MZUMEY,0.0
lemon,3QRYMNZ7FYH9A6ICV9W6VJNAUZPNTN,0.0
lemon,3QXNC7EIPIVN5VHRWXPRT7QLSZD09R,0.0
lemon,3QY7M81QH7ML4202LT1PYVEOB7VK75,17.346697093389537
lemon,3R2UR8A0IAGY98R81YXGZB8LX5JXOW,0.0
lemon,3R5F3LQFV2KNE3RN2GL1WWOW55EZOS,0.0
lemon,3R5F3LQFV2KNE3RN2GL1WWOW5BHZO7,0.0
lemon,3R6P78PK7KB30E1Q85JB5ZEDTNXGT2,0.0
lemon,3RRCEFRB7MCNSCEPDIQPWGBOXBWB4S,0.0
lemon,3RU7GD8VPOT8YRHAMO48P3WJS18PS4,0.0
lemon,3S0TNUHWKTIHQAZB3H788IFT2I0D84,0.0
lemon,3SNLUL3WO4NYMJUGJ161NN5N8IUULH,0.0
lemon,3SUWZRL0MYDZE2UN6XLUUM1NWZL6EE,0.0
lemon,3TAYZSBPLL8C6KG4KQTWTQOQHLIS2A,0.0
lemon,3TE3O857308055GR51TR3GJUVJVR2H,0.0
lemon,3TR2532VIPU7PIGFKYWLR2EF173J6Y,18.072105225476655
lemon,3TXMY6UCAEODRMTTPFTXA3IBBODQCV,0.0
lemon,3TYCR1GOTCJF8IOQPO594FK2A0CLZ0,0.0
lemon,3U5JL4WY5K9U5FHQIEI7LD2GGEGX4J,0.0
lemon,3UJ1CZ6IZHP45HZR29VURXR21V9S5B,0.0
lemon,3V5Q80FXIXR8M3VPUBSVLIGEP5N32X,0.0
lemon,3VNXK88KKCI3YWI7ZUDGE0GBMVJV97,0.0
lemon,3W8CV64QJ2ZYGVNNU5WCZZP2EGL9H8,0.0
lemon,3W8CV64QJ2ZYGVNNU5WCZZP2EMB9HA,10.898573494169092
lemon,3WOKGM4L71GQCILXYM89QXLANYVO0P,0.0
lemon,3WQ3B2KGE8G60DH6Q07NYI4LLRMB1F,0.0
lemon,3X0H8UUIT1OYI0EBYAI3HX4FLSGSWV,18.072105225476655
lemon,3X1FV8S5JXRID65FD0JQ6H2YQ8LGVQ,0.0
lemon,3X3OR7WPZZ00OMN3GY5WRVNYBR2L8S,0.0
lemon,3YT88D1N08Y33JZFJHYZLE28659K30,18.072105225476655
lemon,3Z2R0DQ0JHEBW1BMJV9R49KBGU6E2S,56.30032355501203
lemon,3Z4AIRP3C6DDDGK7VWZ5NFVD4U6X16,0.0
sun,30IQTZXKAK6D6RZPZDV59AC3Z20X03,0.0
sun,31JLPPHS2UUMTAKUH9QSSVJHQAO3O8,0.0
sun,31Z0PCVWUKFK7LQPF2FHZM1KUKLT7J,0.0
sun,323Q6SJS8IG7H5E0XRW49VBDHEFFH5,0.0
sun,32EYX73OY099PHPTOL3X9ZEMEANRU8,0.0
sun,32RIADZISS4M9YVRO4CKM5LO1ZES46,0.0
sun,32VNZTT0A74A8JVE9FCFWVGSFXSR4E,18.072105225476655
sun,32Z9ZLUT1LK1NIRTWUFUWPKR9F1HOO,13.294883970139708
sun,33IZTU6J811D70J18FEPJGIMUUMSXO,0.0
sun,33JKGHPFYCU5XBSSMCVU95SI0ROMNG,0.0
sun,33LK57MYLT52CVJG9X2AG1YX2UHZSP,0.0
sun,33UKMF9319K75JNWS5II4IT2JH5TTO,18.072105225476662
sun,3483FV8BEEJ7JMI7DDQTSLSYZWP626,0.0
sun,34J10VATJFY44PFTHPPJL6G6OT3QI3,0.0
sun,34V1S5K3GS1IJ636YM58280C524966,0.0
sun,34V1S5K3GS1IJ636YM58280C52S96U,0.0
sun,35LDD5557A44P57PPZ3EHDBE6WRKMH,0.0
sun,36DSNE9QZ5YXEOMJKUIF8206M7XOJS,12.537888021611439
sun,373ERPL3YO8UP4A4OGDN43SKVWGRTH,0.0
sun,37C0GNLMHF3UMWGNA2AAO4J2WNAD6I,18.072105225476662
sun,382M9COHEHFKGDKO2FJXASF3ZLVUEW,18.072105225476662
sun,38F71OA9GTWT9JFBOOCH10J9Y09MFG,13.294883970139708
sun,3907X2AHF05FTS0CS9P2YLJFU1AP2Q,0.0
sun,39KFRKBFINVN9DHI6UJIIPFUZHAOY2,12.248010416031955
sun,39LNWE0K4UWWWIMAYY9OV7DVRE0UI3,18.072105225476655
sun,39O5D9O87TSLKLNRR4H1XVP012NC3E,0.0
sun,39PAAFCODM0MIBRLX0IX50HNG2LTV4,0.0
sun,39RP059MEHT3W23VJMQLIASOJ8DMB6,0.0
sun,39ZSFO5CA8WSRT6GGGUO78SV4TPUJF,17.14685828711037
sun,3AAJC4I4FGS9DS0QM3TWO07A6B1JZQ,0.0
sun,3CTOC39K37QQTIUK381DXGEBWINJ7X,0.0
sun,3D3VGR7TA0FPQNCA917WMQOM1XWR3T,0.0
sun,3DBQWDE4Y6Y7P47MUDE8S3HWEW1N5U,0.0
sun,3DPNQGW4LLFHM0XUHR9HL0PWJAL642,13.294883970139708
sun,3FDJT1UU7486HYMJX0MS0B0SK105KB,0.0
sun,3FDJT1UU7486HYMJX0MS0B0SK10K5Q,0.0
sun,3FE7TXL1LIN0T41RSM4RYQ9PZ3YQ2W,0.0
sun,3G0WWMR1UVKWIQQKE52BQECNASRQND,13.294883970139717
sun,3GGAI1SQEVYM67V1XMMGTUY61NHMC5,13.294883970139708
sun,3GGAI1SQEVYM67V1XMMGTUY61TDMCD,0.0
sun,3H8DHMCCW9B1LB1CC64BYNOKXIYDKR,0.0
sun,3HFNH7HEMHEQ8Y9YR1PG0U3Q9GYGQO,0.0
sun,3HMVI3QICJS2DLAH0SL76T2M66W1YO,0.0
sun,3II4UPYCOJ7NWEZ7PBO8U90TWOSDQL,0.0
sun,3J2UYBXQQLC0NCFTYQMF9XZJ2Y560M,0.0
sun,3J88R45B2GYGU839GYAVOBDB7AFXPD,0.0
sun,3JBT3HLQF825Z33OHGYGLWTMFAAPZZ,0.0
sun,3JBT3HLQF825Z33OHGYGLWTMFAAZP9,15.028082530968504
sun,3JRJSWSMQHL0HJ75NVNWNJP3M86E33,18.072105225476662
sun,3K4J6M3CXETYLI2H25SUAUOL5YKAGJ,0.0
sun,3KIBXJ1WD5USP8S12FIR9H0J1WXOKR,0.0
sun,3M0NZ3JDP1Y16TL5X1P2NQO5OAD5ZX,19.58899374343082
sun,3MB8LZR5BFTKJNP4PN2ZH0WP6R1KLF,0.0
sun,3MB8LZR5BFTKJNP4PN2ZH0WP6R6KLK,0.0
sun,3MMN5BL1WZ4YT7ZI4TBF0RUCVAWM3Z,0.0
sun,3MRNMEIQW56C5HJUX6GCDN1ZMI3LD2,0.0
sun,3N1FSUEFL50G79C9REHVR6ZO023D48,0.0
sun,3N8OEVH1FRQBFZDG07AKGYHSL18OOC,0.0
sun,3NAPMVF0ZWFQNMWCWNVLYZSUU7272Z,0.0
sun,3NGI5ARFTT5847IG95POT29A21XP1M,0.0
sun,3NGI5ARFTT5847IG95POT29A2V1P1E,18.072105225476662
sun,3NJM2BJS4W6SRASEP2E8AYS16STPC5,0.0
sun,3NL0RFNU0FNOLFIJJV3IVJUEK51K4H,0.0
sun,3NL0RFNU0FNOLFIJJV3IVJUEK55K4L,0.0
sun,3NXNZ5RS1AX1N6HBHWA08M080DC97T,0.0
sun,3OUYGIZWR7Y8XIXYDMLOFXQ0X3VP0B,0.0
sun,3OUYGIZWR7Y8XIXYDMLOFXQ0X9RP0J,18.072105225476655
sun,3OWEPKL089CMC8L5I6T5QNVS52WN79,0.0
sun,3PDJHANYK5GBYCLPWYT0FPY0OF0H6S,0.0
sun,3PPTZCWALQKQZF43HTD5L1JWK6WZQ0,0.0
sun,3PQMUDRV7R6RNRRA4HKAC4PKXJJIIP,0.0
sun,3QILPRALQ5VQCMQOSBLB4NRNGM2N8W,7.621268714154366
sun,3QJOXOW4XJR135FFTDSBJIY9MZUMEY,0.0
sun,3QRYMNZ7FYH9A6ICV9W6VJNAUZPNTN,0.0
sun,3QXNC7EIPIVN5VHRWXPRT7QLSZD09R,0.0
sun,3QY7M81QH7ML4202LT1PYVEOB7VK75,13.294883970139717
sun,3R2UR8A0IAGY98R81YXGZB8LX5JXOW,0.0
sun,3R5F3LQFV2KNE3RN2GL1WWOW55EZOS,0.0
sun,3R5F3LQFV2KNE3RN2GL1WWOW5BHZO7,18.072105225476662
sun,3R6P78PK7KB30E1Q85JB5ZEDTNXGT2,0.0
sun,3RRCEFRB7MCNSCEPDIQPWGBOXBWB4S,0.0
sun,3RU7GD8VPOT8YRHAMO48P3WJS18PS4,0.0
sun,3S0TNUHWKTIHQAZB3H788IFT2I0D84,18.072105225476662
sun,3SNLUL3WO4NYMJUGJ161NN5N8IUULH,25.778262984651352
sun,3SUWZRL0MYDZE2UN6XLUUM1NWZL6EE,0.0
sun,3TAYZSBPLL8C6KG4KQTWTQOQHLIS2A,0.0
sun,3TE3O857308055GR51TR3GJUVJVR2H,0.0
sun,3TR2532VIPU7PIGFKYWLR2EF173J6Y,0.0
sun,3TXMY6UCAEODRMTTPFTXA3IBBODQCV,0.0
sun,3TYCR1GOTCJF8IOQPO594FK2A0CLZ0,31.117280726035304
sun,3U5JL4WY5K9U5FHQIEI7LD2GGEGX4J,0.0
sun,3UJ1CZ6IZHP45HZR29VURXR21V9S5B,0.0
sun,3V5Q80FXIXR8M3VPUBSVLIGEP5N32X,0.0
sun,3VNXK88KKCI3YWI7ZUDGE0GBMVJV97,0.0
sun,3W8CV64QJ2ZYGVNNU5WCZZP2EGL9H8,0.0
sun,3W8CV64QJ2ZYGVNNU5WCZZP2EMB9HA,0.0
sun,3WOKGM4L71GQCILXYM89QXLANYVO0P,0.0
sun,3WQ3B2KGE8G60DH6Q07NYI4LLRMB1F,13.269600154772561
sun,3X0H8UUIT1OYI0EBYAI3HX4FLSGSWV,13.294883970139708
sun,3X1FV8S5JXRID65FD0JQ6H2YQ8LGVQ,0.0
sun,3X3OR7WPZZ00OMN3GY5WRVNYBR2L8S,0.0
sun,3YT88D1N08Y33JZFJHYZLE28659K30,0.0
sun,3Z2R0DQ0JHEBW1BMJV9R49KBGU6E2S,25.77826298465133
sun,3Z4AIRP3C6DDDGK7VWZ5NFVD4U6X16,0.0
tomato,3018Q3ZVOIQPA8BVIGM69Y2S7CGARA,0.0
tomato,304SM51WA346UXG03JM7UJRUBWLSBC,17.70767196326532
tomato,30BUDKLTXDV3VYU91EBP2GNN09P5EM,0.0
tomato,30MVJZJNHMDU71IDI5ZXBC5HRD5J9D,0.0
tomato,30X31N5D63Q1BNB8X5MBZ87OTEZASY,19.058666633155614
tomato,30X31N5D63Q1BNB8X5MBZ87OTF1AS2,17.70767196326532
tomato,30ZX6P7VF8VJ7HXEXWKI1PX3L7U2J3,12.951233519355895
tomato,30ZX6P7VF8VJ7HXEXWKI1PX3L8WJ2O,0.0
tomato,3180JW2OT4CB6EG1FFMGZW0F5HMJ5M,0.0
tomato,31IBVUNM9SZCZ69K2GD8OW2MPY6FVL,0.0
tomato,31UV0MXWNQCFB3WVXX1GNVLFS2W5IV,50.70357803194854
tomato,326O153BMIYYZB92GKT80SBFDQNDE2,0.0
tomato,32M8BPYGATMDR0LFETK7RSC4IBAGIO,0.0
tomato,32M8BPYGATMDR0LFETK7RSC4IBAIGQ,0.0
