word,both
lemon,1.8019964111956555
sun,1.872482266885029
tomato,2.086369999718594
fire,2.5632587208675317
apple,2.963864389402938
spinach,2.9643726042397684
vegetable,2.98846785033615
tree,3.10419195359014
daffodil,3.1159408268381563
bone,3.169213001729056
rose,3.2433921884852164
hell,3.303978779389624
chalk,3.334355202227455
bus,3.3965426952248565
lobster,3.4810637159697175
love,3.513013350730982
skin,3.5350604179329257
jeans,3.6332072611786255
panther,3.690899562215224
inflamation,3.795120228985063
road,3.8015579995024025
hate,3.8489067733474696
cornflour,3.857730600835443
flesh,3.8977443655328794
cigar,4.008321405946047
ocean,4.016655916352062
elephant,4.071844593278871
romance,4.121659606327935
toilet,4.14341100478714
moose,4.16067592589031
cockroach,4.168011760954605
bread,4.172257480150503
toast,4.1902500388656785
pain,4.194829817430142
weapon,4.2230576474582815
mirror,4.223673009012321
grape,4.256132453940131
hill,4.287071764601604
crab,4.2882079179907215
flag,4.313609525789745
belt,4.332618332838989
fork,4.3525528911165905
revolt,4.420776578972411
berry,4.438459686853379
cow,4.456646287601881
passion,4.4585961481937355
kangaroo,4.481694200099359
trouble,4.552754692608081
viciousness,4.561798537344256
window,4.562446400719266
wilderness,4.569728743849091
rock,4.570163038412092
suit,4.570433069096375
democracy,4.578154259938369
hammer,4.59779927864049
needle,4.607197132747339
iron,4.6152985485890206
cabinet,4.6452174788509
energy,4.652079445300006
fear,4.656914437200861
prune,4.663668833208023
sadness,4.688469472265315
happiness,4.715013949954712
tortoise,4.720566360911632
clarity,4.724593167122161
jealousy,4.738522625891353
staple,4.767575859961476
joy,4.771225895055819
computer,4.784638206476805
dread,4.786223305299739
otter,4.7962115856912755
stethoscope,4.80965231739801
heaven,4.83529939945743
badger,4.852156944050931
tarantula,4.904972235411993
chair,4.9085900147894
tripod,4.914189829061199
glamour,4.91458667610889
embarrassment,4.921892027638205
defiance,4.922690154495299
success,4.935345124373313
razor,4.937920862008073
ache,4.949509068325176
butterfly,4.961226764567663
vagueness,4.975632335632619
microscope,4.977896197470437
suffering,4.979031655831967
earphones,4.981753705025946
robin,4.985308338453982
unicorn,4.988445782865587
shoes,4.9934723998469375
necklace,5.000552681151642
leg,5.0068335560333095
speed,5.008604350131539
train,5.032426580643713
barley,5.034866621810395
toe,5.036360901764764
canyon,5.0514761803461194
ferret,5.058746885908121
desire,5.078307923610395
glee,5.092086755412887
freedom,5.098834446421232
disgust,5.106732984142987
warehouse,5.1107430442837884
fame,5.1133810308929615
excitement,5.122978992734058
corpse,5.142819629628541
horn,5.143506611318978
insect,5.164069238434862
chest,5.179145693229855
hawk,5.18449502207357
surprise,5.1856753245370895
shyness,5.188203911590523
positivity,5.196177789494072
dream,5.208931154859684
despair,5.211001418383043
shampoo,5.21444452815576
harp,5.227249588034516
chaos,5.237342493731651
temptation,5.281608296609769
muscle,5.288641144327594
shirt,5.298781938387936
building,5.3018484683175116
windmill,5.3087956857843865
adoration,5.322925663082211
anxiety,5.3505012675688
gloom,5.352380433649343
optimism,5.3547267867716295
divinity,5.35613267819689
boat,5.364872136689684
heroism,5.371578965266046
relief,5.385676657180112
discomfort,5.402055017133713
bunkbed,5.409731097447518
craziness,5.424837882464455
bracelet,5.427471168877255
fish,5.4285172696655355
tie,5.437358603581988
loyal,5.438144925479773
friendliness,5.444145997461332
noblity,5.4481436648632515
blessing,5.462693054619359
faith,5.47021856037378
drums,5.470527193328302
playfulness,5.478368464985389
seat,5.495405087131046
insanity,5.495837708391421
couch,5.51310455122945
urge,5.525619704577449
communication,5.535151862787848
beauty,5.5419535530679305
pride,5.544275058769285
verb,5.554977860157945
thistle,5.564916958058443
memory,5.568574893274126
stomach,5.5696297868113005
mysterious,5.608794031556768
regret,5.610486624253397
equality,5.611598127012802
reality,5.615622248241853
appearance,5.623405153031695
modesty,5.627178258614739
humiliation,5.639245954085742
diner,5.639263565509121
admiration,5.640547314774408
hairdryer,5.642774853914546
magic,5.653880753517715
discretion,5.65520758837737
notion,5.661577908944822
sanity,5.663028721930951
theory,5.663930853325655
pheasant,5.705550844272399
imagination,5.710657886708011
reassurance,5.71248309959159
opinion,5.747937486179681
justice,5.752689962143367
thoughtlessness,5.75477838562065
gist,5.755079254612374
elegance,5.7593517055202375
book,5.7650646881407015
wisdom,5.774932540715358
gossip,5.777435639044234
ego,5.787247875820584
weariness,5.808342322325761
obviousness,5.816350322361249
purse,5.828402922141136
diversity,5.831473158722088
mansion,5.838329594328226
magazine,5.860383468873314
noun,5.861497588517374
misconception,5.863551669173104
peculiarity,5.873741528876514
tendency,5.890678632808154
obligation,5.900000284955994
randomness,5.956387675819359
oddity,5.994519590767872
complexity,5.997031759317116
responsibility,6.013281497862827
absurdity,6.014659928528478
