word,block2
lemon,1.886784485167676
sun,2.0256444799058344
chalk,3.0821262210788536
bone,3.084421256780233
rose,3.100017054925002
romance,3.8540686335814134
pain,3.9482041465031315
fork,4.099394820703259
energy,4.223787974744389
belt,4.236811985911632
rock,4.420522081212181
success,4.477346909080055
sadness,4.48947285960155
computer,4.502620527431646
staple,4.531000623489237
tarantula,4.542386167158248
excitement,4.632649036721832
corpse,4.653500637160454
robin,4.658686526726595
desire,4.670380153713621
heaven,4.6887508355878404
ache,4.749805681425934
barley,4.8116863738306375
toe,4.832280517424853
divinity,4.990931241989899
shampoo,4.997787340648969
heroism,5.00650975143848
faith,5.037175181183727
relief,5.0426038241076325
boat,5.0470742587803965
gloom,5.068641708439722
optimism,5.07647081398334
appearance,5.0859914331609986
urge,5.100636033253478
temptation,5.1189022752477165
fish,5.1445494949373005
playfulness,5.1876979257754074
loyal,5.252221740798294
pheasant,5.423014919970573
mansion,5.462909872613415
