word,both
lemon,1.774825871555445
sun,1.84536459536633
tomato,2.0694726644493118
fire,2.5376419332047493
apple,2.9407115012432867
spinach,2.949767384601634
vegetable,2.966817930964594
tree,3.0822163643840055
daffodil,3.0966396837721173
bone,3.1498153548665035
rose,3.221465287557543
hell,3.2906378495739363
chalk,3.3156375530350912
bus,3.378095258378908
lobster,3.4625514434076043
love,3.4929799602067444
skin,3.5143557637324707
jeans,3.6126691699409252
panther,3.673511670705388
inflamation,3.78476721092194
road,3.790298279089074
hate,3.8378937035981777
cornflour,3.8406451101473515
flesh,3.8798453296063076
cigar,3.9922094946224354
ocean,3.997778607649713
elephant,4.061487706499306
romance,4.1050128661130545
toilet,4.134224585425915
moose,4.145361695237439
cockroach,4.151052116639527
bread,4.153251552490699
toast,4.172356889136072
pain,4.180713919664182
mirror,4.206352266694878
weapon,4.21341089342648
grape,4.2455769955656315
hill,4.271499639316419
crab,4.273740661380359
flag,4.297422394930084
belt,4.317350567558805
fork,4.337746757658526
revolt,4.407701466822031
berry,4.423446926793613
passion,4.443950628541987
cow,4.4478476725555485
kangaroo,4.4658879425240405
trouble,4.5399238197698155
window,4.549147450057588
viciousness,4.54943786862252
rock,4.556031486567718
wilderness,4.556673853458011
suit,4.556911357721509
democracy,4.563941255876131
hammer,4.58313270626698
needle,4.592875251317136
iron,4.600935756555143
cabinet,4.631871659763952
energy,4.638447787702269
fear,4.644256198038942
prune,4.650029615002996
sadness,4.6768766670316735
happiness,4.706697147639447
tortoise,4.706940545401997
clarity,4.711692571783526
jealousy,4.731441981760332
staple,4.7551163597364665
joy,4.75775828237054
computer,4.771928615677187
dread,4.7750343632950845
otter,4.788590800581064
stethoscope,4.8022505337857195
heaven,4.823281313309446
badger,4.839581542730933
tarantula,4.895161700273169
chair,4.897407840126896
glamour,4.902542114712233
tripod,4.907300592747071
embarrassment,4.911945835967243
defiance,4.912728308234379
success,4.9241394755894
razor,4.931535420618797
ache,4.938833299896857
butterfly,4.949616496175483
vagueness,4.9651947090542
suffering,4.968445907779328
earphones,4.970262380193422
microscope,4.971086623850032
robin,4.974195035241792
unicorn,4.976474573447935
shoes,4.987424229618151
necklace,4.994098470420447
speed,4.9979524792807855
leg,5.001074283439249
train,5.020946970999324
barley,5.023649855366138
toe,5.025414324935477
canyon,5.040653610709023
ferret,5.047479370316621
desire,5.0686413322164325
glee,5.081690401371766
freedom,5.087632364460745
disgust,5.09964076224565
warehouse,5.100671092230674
fame,5.103187348248214
excitement,5.112199222752886
horn,5.133991388311635
corpse,5.134179290730365
insect,5.15737985919461
chest,5.169076656448599
hawk,5.174847502167945
shyness,5.1762090165399774
surprise,5.179071555378984
positivity,5.190094393271522
dream,5.197451441521545
despair,5.202480274998289
shampoo,5.204174023533518
harp,5.217058521892725
chaos,5.22880659787388
temptation,5.273075629944839
muscle,5.2791212232034495
shirt,5.288766951440333
building,5.292165269753567
windmill,5.299569392862073
adoration,5.312971003432046
anxiety,5.34216276451332
gloom,5.344083330056158
optimism,5.345240611319033
divinity,5.347752373775335
boat,5.3548288885861774
heroism,5.362328362705344
relief,5.3769526613703835
discomfort,5.393855342235341
bunkbed,5.401781747937538
craziness,5.417107135194288
bracelet,5.418347751431135
fish,5.419432620502295
tie,5.428082279177267
loyal,5.429619416908509
friendliness,5.438398056477537
noblity,5.439732973200716
blessing,5.4534857908105385
faith,5.461989633033535
drums,5.462162955740898
playfulness,5.469609191379095
seat,5.487468405045054
insanity,5.48829660721023
couch,5.50544061746964
urge,5.518892649100849
communication,5.526151312116793
pride,5.535787190470347
beauty,5.537409266639542
verb,5.546994899918624
thistle,5.560291020842504
memory,5.5611018816378595
stomach,5.564605569783288
regret,5.602999423325567
equality,5.604479852748154
mysterious,5.6050181600669
reality,5.607677021332573
appearance,5.615870654780878
modesty,5.619681153951276
diner,5.632017128535663
humiliation,5.632390389885663
admiration,5.633871940131609
hairdryer,5.636479639647533
magic,5.6458990678280845
discretion,5.648339429280256
notion,5.653807688920033
sanity,5.654887518709561
theory,5.656371257081322
pheasant,5.698620791441581
reassurance,5.70585097001381
imagination,5.706801310670723
opinion,5.743925472968964
thoughtlessness,5.749291671735459
justice,5.7493200669004585
gist,5.751593331668018
elegance,5.7523338502170995
book,5.7641602495173965
wisdom,5.771336801829839
gossip,5.771574542361749
ego,5.782107914478081
weariness,5.8030500460798535
obviousness,5.812494427534463
purse,5.823003286721718
diversity,5.826087846743522
mansion,5.833319719683428
magazine,5.8552705827327225
noun,5.856014505759607
misconception,5.85866113082451
peculiarity,5.868679321057977
tendency,5.88748167595187
obligation,5.895496757960678
randomness,5.951657094927806
oddity,5.990573420823158
complexity,5.994671954727084
absurdity,6.010811642256714
responsibility,6.011461930320124
