word,groundTruth,condition
tomato,40.0,concrete
tomato,3.0,concrete
tomato,40.0,concrete
tomato,43.0,concrete
tomato,40.0,concrete
tomato,3.0,concrete
tomato,8.0,concrete
tomato,43.0,concrete
tomato,40.0,concrete
tomato,40.0,concrete
tomato,43.0,concrete
tomato,40.0,concrete
tomato,43.0,concrete
tomato,43.0,concrete
tomato,40.0,concrete
tomato,8.0,concrete
tomato,40.0,concrete
tomato,43.0,concrete
tomato,40.0,concrete
tomato,40.0,concrete
tomato,40.0,concrete
tomato,40.0,concrete
tomato,43.0,concrete
tomato,43.0,concrete
tomato,43.0,concrete
tomato,40.0,concrete
tomato,43.0,concrete
tomato,40.0,concrete
tomato,43.0,concrete
tomato,40.0,concrete
tomato,40.0,concrete
tomato,43.0,concrete
tomato,40.0,concrete
tomato,43.0,concrete
tomato,40.0,concrete
tomato,40.0,concrete
tomato,40.0,concrete
tomato,43.0,concrete
tomato,40.0,concrete
tomato,43.0,concrete
tomato,40.0,concrete
tomato,43.0,concrete
tomato,43.0,concrete
tomato,40.0,concrete
tomato,40.0,concrete
tomato,3.0,concrete
tomato,40.0,concrete
tomato,40.0,concrete
tomato,43.0,concrete
tomato,40.0,concrete
tomato,43.0,concrete
tomato,43.0,concrete
tomato,8.0,concrete
tomato,8.0,concrete
tomato,40.0,concrete
tomato,40.0,concrete
tomato,40.0,concrete
tomato,1.0,concrete
tomato,8.0,concrete
tomato,1.0,concrete
tomato,43.0,concrete
tomato,40.0,concrete
tomato,8.0,concrete
tomato,3.0,concrete
tomato,43.0,concrete
fire,11.0,concrete
fire,15.0,concrete
fire,41.0,concrete
fire,18.0,concrete
fire,41.0,concrete
fire,18.0,concrete
fire,5.0,concrete
fire,15.0,concrete
fire,41.0,concrete
fire,6.0,concrete
fire,41.0,concrete
fire,15.0,concrete
fire,15.0,concrete
fire,18.0,concrete
fire,15.0,concrete
fire,15.0,concrete
fire,41.0,concrete
fire,15.0,concrete
fire,18.0,concrete
fire,1.0,concrete
fire,41.0,concrete
fire,41.0,concrete
fire,41.0,concrete
fire,41.0,concrete
fire,41.0,concrete
fire,41.0,concrete
fire,18.0,concrete
fire,41.0,concrete
fire,15.0,concrete
fire,6.0,concrete
fire,41.0,concrete
fire,6.0,concrete
fire,41.0,concrete
fire,41.0,concrete
fire,6.0,concrete
fire,41.0,concrete
fire,41.0,concrete
fire,41.0,concrete
fire,41.0,concrete
fire,41.0,concrete
fire,11.0,concrete
fire,41.0,concrete
fire,2.0,concrete
fire,15.0,concrete
fire,15.0,concrete
fire,11.0,concrete
fire,41.0,concrete
fire,41.0,concrete
fire,41.0,concrete
fire,41.0,concrete
fire,18.0,concrete
