word,block1
lemon,1.8617443745930657
sun,1.9207265782035097
tomato,2.1521941147924406
fire,2.6467493841705965
apple,2.925695473873523
tree,3.051988733677711
daffodil,3.0848833974972094
spinach,3.102966551660827
vegetable,3.1095295615639724
bone,3.1944036455262044
rose,3.2093905412283057
bus,3.2432019684441453
hell,3.2947068430923365
chalk,3.347274284048836
lobster,3.411698355592208
skin,3.414789951935122
love,3.4172746934905063
panther,3.4881640120027746
jeans,3.570812266716579
inflamation,3.7047443195114886
road,3.7317369782205856
hate,3.732297737223828
flesh,3.747913909448369
cornflour,3.7980823631851375
cigar,3.9984419065677512
weapon,4.028523266618761
ocean,4.043316366646673
toast,4.0638868610593
pain,4.064316548951726
moose,4.068749670952028
elephant,4.073852750923128
cockroach,4.129283408745771
romance,4.132565947091737
mirror,4.150287578731541
revolt,4.160457761421567
bread,4.16528064009654
grape,4.172186123003404
toilet,4.1783192101483335
belt,4.193555181968763
hill,4.209626670098928
crab,4.241533421761468
berry,4.246971402320095
suit,4.269160080971626
fork,4.2951841971280045
needle,4.38718932819593
trouble,4.39042960597724
flag,4.40121845221319
viciousness,4.431254703619505
rock,4.437592087106111
kangaroo,4.447900014696294
wilderness,4.450686236601082
cow,4.456802264148226
sadness,4.47368926105325
passion,4.483974514443127
democracy,4.502847687163645
jealousy,4.503644198288932
dread,4.515892706012468
cabinet,4.520462045614179
happiness,4.571356673115372
hammer,4.577343678405057
embarrassment,4.589050666373788
joy,4.590168393076348
tarantula,4.598339483693119
heaven,4.605063594531355
window,4.614411539922289
fear,4.618528767107624
energy,4.628024982955158
iron,4.629951581306052
tortoise,4.641681528187074
defiance,4.657971820539367
prune,4.662624201907414
ache,4.7029725161756675
shoes,4.708057872527194
otter,4.712740511072288
staple,4.741343390338687
clarity,4.746648689571546
suffering,4.7607323546224505
stethoscope,4.76849686990707
success,4.7711934165189165
glamour,4.783084382768916
badger,4.785179607869305
razor,4.788224372410541
robin,4.796642575351725
unicorn,4.809601668618095
computer,4.813012626245081
barley,4.816149914672775
train,4.8250059333644675
necklace,4.829911877489477
chair,4.848680871062577
speed,4.851880685327806
corpse,4.856542007942822
horn,4.867153522353029
canyon,4.875773751913031
warehouse,4.878456641621229
toe,4.886109592561684
glee,4.888405967892635
tripod,4.904780941389362
temptation,4.922244649263483
butterfly,4.922979238409095
surprise,4.931604112022142
chaos,4.93427835707648
vagueness,4.935600895209035
earphones,4.950934296707239
leg,4.967378947502463
shyness,4.971908949963567
desire,4.979100819379648
disgust,4.991410919059663
shampoo,5.000975484353003
ferret,5.0025602583349675
fame,5.010009900227123
microscope,5.011843339588919
hawk,5.015186545847367
gloom,5.019686794439164
chest,5.021648169989466
despair,5.0262318220771744
insect,5.063543363160451
discomfort,5.08145700892023
excitement,5.08523177103641
harp,5.097925090621843
positivity,5.105682906525081
optimism,5.107483267500737
freedom,5.111711660453359
muscle,5.127753473332698
building,5.157119358369271
bunkbed,5.167264493851746
loyal,5.171755071609918
divinity,5.183810992869547
tie,5.187982989289983
adoration,5.202727559463307
windmill,5.203363029620282
heroism,5.212651695244786
dream,5.214434084690464
relief,5.216961943554056
anxiety,5.228788767792191
boat,5.232642459845174
seat,5.251364435329921
insanity,5.252891585911551
regret,5.261076989644762
playfulness,5.261966602253621
bracelet,5.267309882476773
blessing,5.273186278111987
noblity,5.27462952039029
communication,5.2828395396976475
friendliness,5.292311893462738
craziness,5.2944298049218705
shirt,5.300985860614414
urge,5.306919142733632
couch,5.3084193100890325
humiliation,5.312489927381213
equality,5.319485242790729
diner,5.325635117066381
pride,5.345156328311024
fish,5.348543838019333
mysterious,5.359066394469885
theory,5.360511300240385
pheasant,5.361110836717991
hairdryer,5.370278127479342
faith,5.372373308408895
admiration,5.385838218812939
notion,5.394808161961361
verb,5.395744544844545
beauty,5.406979556699156
magazine,5.429554730871507
stomach,5.434563679454543
memory,5.436988658316135
modesty,5.44648919785816
thistle,5.44841380472393
drums,5.450207393074189
sanity,5.457123701134766
weariness,5.490695952441813
purse,5.490866636996886
magic,5.496606114523905
appearance,5.49746393047712
diversity,5.499220597103489
reality,5.503814664896352
discretion,5.516042207136314
reassurance,5.5286601127546176
misconception,5.529773830705976
mansion,5.535470344558519
ego,5.536838815094072
justice,5.545670344616697
elegance,5.561426469535735
opinion,5.5663396609254185
imagination,5.571046813514884
wisdom,5.602760374448998
gossip,5.609534294606853
thoughtlessness,5.624066703119303
obligation,5.642010395058332
noun,5.647351033869935
peculiarity,5.652743539374678
book,5.655256506415233
gist,5.658585233832967
oddity,5.67888997501817
complexity,5.7095299327284
randomness,5.714373885723876
obviousness,5.723180613549783
tendency,5.751988900798386
absurdity,5.8482972893974665
responsibility,5.857134973855094
