word,both,condition
lemon,1.801996411,concrete
sun,1.872482267,concrete
tomato,2.08637,concrete
fire,2.563258721,concrete
apple,2.963864389,concrete
spinach,2.964372604,concrete
vegetable,2.98846785,concrete
tree,3.104191954,concrete
daffodil,3.115940827,concrete
bone,3.169213002,concrete
rose,3.243392188,concrete
hell,3.303978779,concrete
chalk,3.334355202,concrete
bus,3.396542695,concrete
lobster,3.481063716,concrete
love,3.513013351,concrete
skin,3.535060418,concrete
jeans,3.633207261,concrete
panther,3.690899562,concrete
inflamation,3.795120229,concrete
road,3.801558,concrete
hate,3.848906773,concrete
cornflour,3.857730601,concrete
flesh,3.897744366,concrete
cigar,4.008321406,concrete
ocean,4.016655916,concrete
elephant,4.071844593,concrete
romance,4.121659606,concrete
toilet,4.143411005,concrete
moose,4.160675926,concrete
cockroach,4.168011761,concrete
bread,4.17225748,concrete
toast,4.190250039,concrete
pain,4.194829817,concrete
weapon,4.223057647,concrete
mirror,4.223673009,concrete
grape,4.256132454,concrete
hill,4.287071765,concrete
crab,4.288207918,concrete
flag,4.313609526,concrete
belt,4.332618333,concrete
fork,4.352552891,concrete
revolt,4.420776579,concrete
berry,4.438459687,concrete
cow,4.456646288,concrete
passion,4.458596148,concrete
kangaroo,4.4816942,concrete
trouble,4.552754693,concrete
viciousness,4.561798537,concrete
window,4.562446401,concrete
wilderness,4.569728744,concrete
rock,4.570163038,concrete
suit,4.570433069,concrete
democracy,4.57815426,concrete
hammer,4.597799279,concrete
needle,4.607197133,concrete
iron,4.615298549,concrete
cabinet,4.645217479,concrete
energy,4.652079445,concrete
fear,4.656914437,concrete
prune,4.663668833,concrete
sadness,4.688469472,concrete
happiness,4.71501395,concrete
tortoise,4.720566361,concrete
clarity,4.724593167,concrete
jealousy,4.738522626,concrete
staple,4.76757586,concrete
joy,4.771225895,concrete
computer,4.784638206,concrete
dread,4.786223305,concrete
otter,4.796211586,concrete
stethoscope,4.809652317,concrete
heaven,4.835299399,concrete
badger,4.852156944,concrete
tarantula,4.904972235,concrete
chair,4.908590015,concrete
tripod,4.914189829,concrete
glamour,4.914586676,concrete
embarrassment,4.921892028,concrete
defiance,4.922690154,concrete
success,4.935345124,concrete
razor,4.937920862,concrete
ache,4.949509068,concrete
butterfly,4.961226765,concrete
vagueness,4.975632336,concrete
microscope,4.977896197,concrete
suffering,4.979031656,concrete
earphones,4.981753705,concrete
robin,4.985308338,concrete
unicorn,4.988445783,concrete
shoes,4.9934724,concrete
necklace,5.000552681,concrete
leg,5.006833556,concrete
speed,5.00860435,concrete
train,5.032426581,concrete
barley,5.034866622,concrete
toe,5.036360902,concrete
canyon,5.05147618,concrete
ferret,5.058746886,concrete
desire,5.078307924,abstract
glee,5.092086755,abstract
freedom,5.098834446,abstract
disgust,5.106732984,abstract
warehouse,5.110743044,abstract
fame,5.113381031,abstract
excitement,5.122978993,abstract
corpse,5.14281963,abstract
horn,5.143506611,abstract
insect,5.164069238,abstract
chest,5.179145693,abstract
hawk,5.184495022,abstract
surprise,5.185675325,abstract
shyness,5.188203912,abstract
positivity,5.196177789,abstract
dream,5.208931155,abstract
despair,5.211001418,abstract
shampoo,5.214444528,abstract
harp,5.227249588,abstract
chaos,5.237342494,abstract
temptation,5.281608297,abstract
muscle,5.288641144,abstract
shirt,5.298781938,abstract
building,5.301848468,abstract
windmill,5.308795686,abstract
adoration,5.322925663,abstract
anxiety,5.350501268,abstract
gloom,5.352380434,abstract
optimism,5.354726787,abstract
divinity,5.356132678,abstract
boat,5.364872137,abstract
heroism,5.371578965,abstract
relief,5.385676657,abstract
discomfort,5.402055017,abstract
bunkbed,5.409731097,abstract
craziness,5.424837882,abstract
bracelet,5.427471169,abstract
fish,5.42851727,abstract
tie,5.437358604,abstract
loyal,5.438144925,abstract
friendliness,5.444145997,abstract
noblity,5.448143665,abstract
blessing,5.462693055,abstract
faith,5.47021856,abstract
drums,5.470527193,abstract
playfulness,5.478368465,abstract
seat,5.495405087,abstract
insanity,5.495837708,abstract
couch,5.513104551,abstract
urge,5.525619705,abstract
communication,5.535151863,abstract
beauty,5.541953553,abstract
pride,5.544275059,abstract
verb,5.55497786,abstract
thistle,5.564916958,abstract
memory,5.568574893,abstract
stomach,5.569629787,abstract
mysterious,5.608794032,abstract
regret,5.610486624,abstract
equality,5.611598127,abstract
reality,5.615622248,abstract
appearance,5.623405153,abstract
modesty,5.627178259,abstract
humiliation,5.639245954,abstract
diner,5.639263566,abstract
admiration,5.640547315,abstract
hairdryer,5.642774854,abstract
magic,5.653880754,abstract
discretion,5.655207588,abstract
notion,5.661577909,abstract
sanity,5.663028722,abstract
theory,5.663930853,abstract
pheasant,5.705550844,abstract
imagination,5.710657887,abstract
reassurance,5.7124831,abstract
opinion,5.747937486,abstract
justice,5.752689962,abstract
thoughtlessness,5.754778386,abstract
gist,5.755079255,abstract
elegance,5.759351706,abstract
book,5.765064688,abstract
wisdom,5.774932541,abstract
gossip,5.777435639,abstract
ego,5.787247876,abstract
weariness,5.808342322,abstract
obviousness,5.816350322,abstract
purse,5.828402922,abstract
diversity,5.831473159,abstract
mansion,5.838329594,abstract
magazine,5.860383469,abstract
noun,5.861497589,abstract
misconception,5.863551669,abstract
peculiarity,5.873741529,abstract
tendency,5.890678633,abstract
obligation,5.900000285,abstract
randomness,5.956387676,abstract
oddity,5.994519591,abstract
complexity,5.997031759,abstract
responsibility,6.013281498,abstract
absurdity,6.014659929,abstract
