word,block2
lemon,1.7778924118887203
sun,1.9036515944297476
tomato,2.0056674423040235
fire,2.5110221696321853
spinach,2.705220695682703
vegetable,2.8003402079582904
apple,2.9234338913284033
daffodil,2.968569669647377
bone,3.0543722255606567
tree,3.082426549160184
chalk,3.143766486232102
hell,3.205509586255307
rose,3.207151755776645
bus,3.2461765654098955
lobster,3.3525893698462794
love,3.5403718370812225
skin,3.5541121669189546
jeans,3.5612739529345325
inflamation,3.6352971856201206
panther,3.685817635166091
road,3.692457998759903
cornflour,3.753132727945435
hate,3.7723970557257185
cigar,3.8412342106474004
flesh,3.844109643277503
toilet,3.869404337777303
elephant,3.869595450796323
ocean,3.926703581427106
romance,3.9422401571508354
flag,3.9799995473358534
pain,3.988152581401408
moose,3.9971612590855874
bread,4.0164465271028895
cockroach,4.031618703194971
crab,4.053501092422943
weapon,4.118713319367309
hill,4.125001287975441
toast,4.129052665958361
mirror,4.1328712759086645
fork,4.163438816588191
passion,4.1660764885286605
window,4.174020443381758
cow,4.188661031899477
belt,4.199785543333932
grape,4.220668079692263
kangaroo,4.254101362256948
trouble,4.263956385802408
iron,4.280879378867066
viciousness,4.290749759330893
revolt,4.293786750982743
democracy,4.3263836126008135
fear,4.339393674936165
energy,4.354354038551626
berry,4.361381362798655
hammer,4.390679939959489
wilderness,4.398114127795611
cabinet,4.410765615068641
rock,4.4226210527498235
suit,4.425560852060607
clarity,4.438303095996969
prune,4.439124420115768
computer,4.463264650586737
needle,4.478810082426269
staple,4.511984790670809
tortoise,4.513537229076542
stethoscope,4.531894487293224
sadness,4.552862504289297
jealousy,4.560998909039033
badger,4.56610482292611
otter,4.576525546200374
chair,4.589028368354466
microscope,4.603943295682196
happiness,4.6058496488103255
vagueness,4.61316778888431
tripod,4.6278046789610965
razor,4.641989362667348
dread,4.656276851015843
butterfly,4.6602577658855875
suffering,4.662601557384706
joy,4.680924074764782
glamour,4.701959539523182
leg,4.710859999721483
earphones,4.719560128549229
tarantula,4.7280387443221255
success,4.737252891139669
excitement,4.73925306837524
defiance,4.742377907855002
freedom,4.773724873495504
embarrassment,4.78100944265718
heaven,4.782194686316795
robin,4.786338257931614
desire,4.797717116460036
ache,4.805396215863796
speed,4.815829191285204
necklace,4.821852619220152
train,4.823568201722541
ferret,4.844420890074613
dream,4.864594508552428
fame,4.864601469281205
shoes,4.87332666741364
toe,4.893038571326543
shirt,4.895715960460603
unicorn,4.9037444205417104
disgust,4.906840957619114
horn,4.908115913671369
harp,4.914203549051209
despair,4.926462460317841
hawk,4.930166093921573
glee,4.930524430572354
positivity,4.938199064174757
shyness,4.943777802926771
barley,4.944295118282014
canyon,4.952980237927445
corpse,4.959529450718236
warehouse,4.970470736344106
chest,4.9904183237908155
chaos,4.994050395712921
shampoo,5.0122940172176484
insect,5.022842269002175
drums,5.025706798695257
windmill,5.0387606818242245
building,5.0463345523053516
divinity,5.054190294654379
muscle,5.0542837962142
heroism,5.062318695363813
adoration,5.068395824135108
relief,5.0779852757062995
anxiety,5.083698779858196
craziness,5.089185880595307
surprise,5.103636453223226
temptation,5.124067498239868
boat,5.127151364048286
faith,5.151826751811307
discomfort,5.180538928614737
optimism,5.182729085976456
bracelet,5.191785311115369
gloom,5.1918420016582845
loyal,5.195565079357155
memory,5.2217679222098
insanity,5.223434117620295
bunkbed,5.2304798724096075
reality,5.242685849178155
fish,5.25175172383472
couch,5.25312675395847
playfulness,5.280231041309927
urge,5.2836516759338625
noblity,5.2848914464035746
verb,5.286907926703615
discretion,5.289989547701676
beauty,5.290683607152845
seat,5.293405700360604
friendliness,5.300873783645627
imagination,5.308280900937456
stomach,5.322241669696302
thistle,5.323793918834026
appearance,5.326997472388038
thoughtlessness,5.3371068575913485
tie,5.347093356941905
blessing,5.36046109600476
communication,5.365947996940291
modesty,5.366078612233026
reassurance,5.3764749528234725
pride,5.379448402424325
notion,5.380030779844451
equality,5.381095263683635
regret,5.405842301847358
theory,5.412152262130835
admiration,5.416930625229703
humiliation,5.417456503777738
gist,5.417842573071619
mysterious,5.429596417594355
gossip,5.436422572531878
diner,5.437118937350599
magic,5.448071777072816
obviousness,5.485475429507155
justice,5.489119992350092
ego,5.498250270462778
sanity,5.4996176973216535
opinion,5.5022357476301345
elegance,5.504060489040761
wisdom,5.510825783218557
hairdryer,5.513027594615927
tendency,5.537578792941835
pheasant,5.538156101680692
diversity,5.539687208909893
noun,5.555373873362992
weariness,5.56340868535978
book,5.569063726810916
misconception,5.575419150603943
peculiarity,5.589683098758261
mansion,5.618996303516267
obligation,5.636330375283542
absurdity,5.652116489976222
purse,5.653962655590686
magazine,5.6686755242103715
randomness,5.679996274947774
complexity,5.742891697633923
responsibility,5.768340070211504
oddity,5.799636008071661
