word,deltaE
sun,12.08896772
lemon,13.75789819
tomato,14.56757008
chalk,14.72623123
bone,16.20801915
spinach,18.03432187
mirror,18.53509741
fire,19.05372141
vegetable,19.27103535
skin,20.00159211
tree,20.73025564
rose,21.11061205
fork,21.32294135
ocean,21.34436529
daffodil,21.6795238
window,21.71399521
elephant,22.19372728
hell,22.29924603
jeans,22.33238977
clarity,22.42189746
cockroach,24.22345264
road,24.39483899
needle,24.57205481
cigar,24.61698499
staple,25.45519806
cornflour,25.61640683
vagueness,25.62649258
panther,25.77973144
hate,25.99285705
weapon,26.04301036
moose,26.16393349
lobster,26.94609877
inflamation,27.01560921
love,27.04960886
stethoscope,27.08808802
toilet,27.20689605
bread,27.23948689
tortoise,27.2920781
bus,27.29417091
wilderness,27.30179496
kangaroo,27.45715054
flesh,27.59407617
belt,27.77838526
dream,27.79685327
rock,27.7975106
pain,27.8061879
hammer,27.98095114
romance,28.06280282
iron,28.30555982
hill,28.5066937
microscope,28.59198342
shampoo,28.77040733
heaven,28.86847886
computer,29.0251229
shirt,29.22612258
warehouse,29.40172684
leg,29.41053185
cabinet,29.67802782
razor,29.71323337
toast,29.91715818
unicorn,29.94735373
otter,29.95322653
suit,29.980035
apple,30.05590434
chair,30.08961744
berry,30.10610289
shyness,30.35379907
necklace,30.37102295
tripod,30.37516275
crab,30.40833021
sadness,30.66471922
trouble,30.80794476
relief,30.82775631
train,30.91678159
disgust,30.93728008
revolt,30.98627034
notion,31.19437229
windmill,31.22467801
fear,31.22643635
badger,31.22909018
dread,31.39783998
fish,31.54994017
divinity,31.6686475
gist,31.80023252
passion,32.00462573
ferret,32.00587098
harp,32.01426495
canyon,32.043065
theory,32.1620773
memory,32.4142912
prune,32.47862179
building,32.62813037
hawk,32.69507972
discretion,32.96641618
blessing,32.98632879
cow,33.10693095
despair,33.20867245
suffering,33.28633101
tendency,33.34339361
seat,33.51168167
viciousness,33.58716812
insect,33.71573801
toe,33.75237511
drums,33.77189676
barley,33.81358053
boat,33.81734835
tarantula,33.91384224
chest,33.93362651
horn,34.14072886
couch,34.14521015
grape,34.15731617
democracy,34.1813783
wisdom,34.38650041
opinion,34.38732691
shoes,34.39363313
reality,34.40810027
imagination,34.57442982
appearance,34.59306825
bracelet,34.61235537
embarrassment,34.72567728
modesty,34.85381302
bunkbed,34.88959012
communication,34.92682161
muscle,34.9630098
pheasant,35.19120346
glee,35.33835204
thistle,35.34137138
earphones,35.35274316
stomach,35.40047221
flag,35.44342145
optimism,35.5092308
weariness,35.55303588
gloom,35.5785657
corpse,35.58453591
butterfly,35.67746127
friendliness,35.72968941
thoughtlessness,35.75549494
faith,35.86408572
glamour,35.9973403
tie,36.00660914
beauty,36.01629128
defiance,36.09395025
elegance,36.16115704
energy,36.17229391
ache,36.24442562
equality,36.25214209
reassurance,36.3918657
joy,36.40283287
verb,36.60322854
obligation,36.60868701
magazine,36.66501113
book,36.71358588
hairdryer,36.7748303
discomfort,36.78021415
obviousness,36.81347553
noun,36.84390898
adoration,36.85347614
chaos,36.94278358
sanity,37.07037021
mysterious,37.17070818
mansion,37.63541574
positivity,37.85176004
purse,38.13807597
surprise,38.14726827
magic,38.16999255
diner,38.18779192
oddity,38.22592914
randomness,38.27268953
misconception,38.32349406
peculiarity,38.46409454
regret,38.55600945
desire,38.59270031
craziness,38.63044543
playfulness,38.68518286
happiness,38.87582313
loyal,38.97828356
robin,38.98310844
admiration,39.01663924
freedom,39.08654716
success,39.14857157
diversity,39.28099075
temptation,39.30714383
justice,39.31184979
absurdity,39.37321163
fame,39.55910138
humiliation,39.56160211
noblity,39.6117563
anxiety,39.63685387
responsibility,39.64359933
excitement,39.65449657
jealousy,39.89390614
complexity,39.97555309
insanity,39.98409213
speed,40.11270416
heroism,40.49085287
gossip,40.53579108
urge,40.71265782
ego,40.88315153
pride,41.09222081
