id,munsell,rgb
0,10R9/2,"(245, 225, 219)"
1,10R7/10,"(254, 147, 109)"
2,10R5/16,"(216, 65, 0)"
3,10R3/10,"(137, 34, 17)"
4,5R8/6,"(254, 185, 179)"
5,5R6/12,"(239, 107, 106)"
6,5R4/14,"(190, 26, 52)"
7,5R2/8,"(99, 14, 38)"
8,10YR9/4,"(255, 225, 176)"
9,10YR7/14,"(244, 150, 0)"
10,10YR5/10,"(170, 103, 0)"
11,10YR3/6,"(100, 65, 8)"
12,5YR8/8,"(255, 186, 123)"
13,5YR6/14,"(231, 111, 0)"
14,5YR4/8,"(146, 80, 27)"
15,5YR2/4,"(75, 41, 23)"
16,10Y9/6,"(238, 234, 140)"
17,10Y7/12,"(203, 172, 0)"
18,10Y5/8,"(141, 120, 0)"
19,10Y3/4,"(76, 74, 29)"
20,5Y8/14,"(252, 190, 0)"
21,5Y6/10,"(187, 139, 0)"
22,5Y4/6,"(116, 95, 21)"
23,5Y2/2,"(56, 49, 32)"
24,10GY9/4,"(200, 241, 191)"
25,10GY7/10,"(103, 196, 96)"
26,10GY5/12,"(54, 142, 15)"
27,10GY3/6,"(32, 83, 38)"
28,5GY8/10,"(184, 216, 68)"
29,5GY6/10,"(136, 152, 0)"
30,5GY4/8,"(93, 100, 0 )"
31,5GY2/2,"(46, 52, 38)"
32,10G9/2,"(203, 237, 224)"
33,10G7/8,"(64, 196, 164)"
34,10G5/10,"(0, 149, 112)"
35,10G3/8,"(0, 88, 63)"
36,5G8/6,"(135, 220, 178)"
37,5G6/10,"(29, 171, 113)"
38,5G4/10,"(0, 117, 66)"
39,5G2/6,"(0, 58, 32)"
40,10BG9/2,"(205, 236, 235)"
41,10BG7/8,"(29, 194, 202)"
42,10BG5/10,"(0, 147, 152)"
43,10BG3/8,"(0, 91, 97)"
44,5BG8/4,"(151, 214, 204)"
45,5BG6/10,"(0, 173, 154)"
46,5BG4/8,"(0, 118, 107)"
47,5BG2/6,"(0, 62, 57)"
48,10B9/2,"(216, 232, 240)"
49,10B7/8,"(99, 185, 228)"
50,10B5/12,"(0, 146, 196)"
51,10B3/10,"(0, 79, 142)"
52,5B8/4,"(158, 211, 223)"
53,5B6/10,"(0, 174, 198)"
54,5B4/10,"(0, 121, 148)"
55,5B2/6,"(0, 63, 80)"
56,10PB9/2,"(229, 228, 239)"
57,10PB7/8,"(173, 169, 229)"
58,10PB5/10,"(124, 112, 186)"
59,10PB3/10,"(79, 58, 135)"
60,5PB8/6,"(173, 204, 247)"
61,5PB6/10,"(96, 151, 219)"
62,5PB4/12,"(0, 113, 178)"
63,5PB2/8,"(0, 58, 101)"
64,10P9/2,"(237, 227, 233)"
65,10P7/8,"(218, 156, 201)"
66,10P5/12,"(181, 89, 164)"
67,10P3/10,"(118, 39, 110)"
68,5P8/4,"(211, 197, 223)"
69,5P6/8,"(170, 136, 191)"
70,5P4/12,"(132, 71, 157)"
71,5P2/8,"(73, 31, 87)"
72,10RP9/2,"(242, 226, 227)"
73,10RP7/8,"(238, 151, 162)"
74,10RP5/14,"(218, 64, 108)"
75,10RP3/10,"(139, 23, 66)"
76,5RP8/6,"(246, 186, 205)"
77,5RP6/12,"(226, 110, 159)"
78,5RP4/12,"(169, 50, 112)"
79,5RP2/8,"(91, 20, 66)"
