word,block1
chalk,505.1583641756539
mirror,646.825813223164
tomato,685.6845782294746
bone,691.5766687779296
elephant,701.1901045644963
sun,717.5463137335926
ocean,724.38816741366
lemon,754.8701669709797
road,757.9876298004667
jeans,802.7095447380268
skin,813.7568634842047
fire,823.7649325895113
vegetable,843.3588270648236
tree,910.3294081751897
spinach,918.5955340205304
fork,927.603007452411
rose,931.2193241619118
cockroach,961.3780015802474
rock,1008.4973404356422
window,1055.7347309489512
toast,1085.7396591193972
vagueness,1091.5991399179657
cigar,1100.5222144117452
stethoscope,1107.5273043872887
hammer,1126.2485597569844
suit,1142.9627088543348
needle,1153.6183915089175
toilet,1161.3946258408303
iron,1167.3807980079391
panther,1167.9510615828663
computer,1194.3738269862588
moose,1201.5833246325574
weapon,1207.113455813343
sadness,1236.6341810142371
belt,1237.5238644086037
hell,1249.1357289068437
clarity,1272.956078502294
otter,1290.097706736407
staple,1304.2663941650435
unicorn,1311.1613087352573
microscope,1315.164034878634
tortoise,1321.096056058128
love,1322.0153835344045
bread,1332.748758071169
tripod,1348.4124044407033
shyness,1383.9952369347793
razor,1389.614481458147
dream,1394.231530036831
shoes,1411.4829906334098
tarantula,1422.145472678968
wilderness,1424.675747750814
flesh,1434.0310293448586
kangaroo,1442.646657088227
dread,1448.6656237878615
hate,1477.3862304206862
chair,1488.8578112513846
heaven,1489.1426185109735
cabinet,1490.5817915263947
warehouse,1501.0908704178814
ferret,1504.5677082536756
cow,1505.3652225633587
inflamation,1519.9374968635884
modesty,1521.5496995606982
gloom,1523.4914604508922
romance,1535.3845062649282
shampoo,1535.6787735528278
hill,1537.0636125420656
toe,1538.6684685473988
earphones,1572.320550479469
badger,1581.2665120434865
building,1615.973592941916
despair,1625.0266414482653
weariness,1628.436114573496
leg,1634.1499791396739
disgust,1639.288121796455
daffodil,1639.498087468036
train,1648.177832093781
corpse,1654.0807792086612
couch,1687.3697515508443
hairdryer,1729.9553237354817
hawk,1730.4330023356574
gist,1731.956987708661
cornflour,1734.6076576267776
windmill,1734.955388185584
mysterious,1745.1777436609545
insect,1757.922093383671
seat,1763.9731169728175
pain,1767.7614367780222
canyon,1795.2115718384935
lobster,1807.2659056022003
boat,1812.5448238511963
chest,1824.8853823746101
suffering,1829.3285076888426
berry,1839.66774525746
thoughtlessness,1840.2088983446315
bunkbed,1869.1886983387426
notion,1884.9356262070817
book,1893.6368562213393
drums,1897.0458254081145
noun,1914.1954592696902
theory,1925.9646115093442
muscle,1930.4240828910383
fear,1934.9716112409965
viciousness,1938.9701565209014
trouble,1939.0454125763977
purse,1939.195747744215
bus,1949.1339924371428
revolt,1963.0633014263335
discretion,1966.1516289046722
appearance,1969.8360712026692
ache,1970.4635931217665
elegance,1976.6327441665042
barley,1990.4739563898777
magazine,1994.633913346554
crab,2003.2514582547517
beauty,2010.974465601151
regret,2032.0649364360866
imagination,2041.6562494824025
pheasant,2053.477059740051
chaos,2056.968117279434
tie,2064.999754649343
wisdom,2066.996724667124
discomfort,2071.9103675904225
reassurance,2076.116098722667
memory,2079.488123965993
passion,2092.5838869803147
equality,2095.363671700557
shirt,2103.3301611890415
relief,2112.2373532953443
tendency,2116.878946923899
divinity,2117.5852649429125
necklace,2119.136265399852
fish,2123.2201433314067
harp,2123.799211247174
stomach,2124.503268630194
sanity,2129.3185682884355
apple,2130.101080100661
misconception,2140.180055564808
opinion,2149.2020413208074
mansion,2158.224725352359
prune,2182.8429256203463
blessing,2183.3233390658806
democracy,2206.854746815331
thistle,2220.2115001318284
horn,2224.984980711472
bracelet,2231.782584572086
noblity,2234.677044644461
humiliation,2240.343028710162
embarrassment,2291.5507430126445
grape,2291.746269890973
insanity,2309.518600658481
randomness,2320.3556199690343
responsibility,2329.391207319919
oddity,2336.135735863091
magic,2394.6882815258145
glee,2395.809739688356
glamour,2399.641393369103
absurdity,2403.0939963200944
optimism,2406.7437854224795
adoration,2414.7417770936827
loyal,2426.299942633631
complexity,2432.2238375349943
obviousness,2434.667570945893
faith,2440.502721408754
peculiarity,2445.5774287960853
justice,2454.9635678628692
communication,2472.9451436480313
reality,2480.0980157169665
anxiety,2490.431117245217
verb,2495.1465589687805
diversity,2512.057673339139
obligation,2516.627345514309
surprise,2558.5753190756504
playfulness,2566.7190419938465
gossip,2575.996913862813
defiance,2606.8902464552407
friendliness,2623.673969857952
positivity,2635.538640681509
admiration,2645.419815350644
diner,2650.461506327861
happiness,2719.648573685299
jealousy,2739.6809647496184
desire,2751.2663315421096
joy,2753.4395198577786
craziness,2772.1388192359864
temptation,2792.742652705006
flag,2793.7616477989363
ego,2803.533021049806
pride,2873.62598726162
butterfly,2887.4833268868906
speed,2898.437903541274
urge,2903.017493680306
energy,2918.351364914006
heroism,2962.836920540932
robin,2973.882090171528
success,3023.199837678595
freedom,3113.2288767800246
fame,3166.824420787964
excitement,3169.6942019003886
