word,CNC,CNC_SD,CNC_N,IMAG,IMAG_SD,IMAG_N,FAM,FAM_SD,FAM_N
abattoir,5.6667,1.6714,21,4.4545,2.1475,22,2.3824,1.7989,34
abbey,5.9032,1.5315,31,5.3000,1.9175,30,3.2121,1.7190,33
abbreviate,3.2857,1.7332,35,3.1765,1.6886,34,4.9333,1.8245,30
abdicate,3.3448,1.8805,29,2.5161,1.5213,31,3.7879,1.9963,33
abdication,3.2917,1.6196,24,2.5714,1.2936,28,3.0968,2.0217,31
abdomen,6.6061,0.6485,33,6.2353,1.1646,34,4.5625,1.7128,32
abdominal,5.7353,1.1196,34,5.0303,1.5272,33,4.8065,1.6347,31
abduct,4.5455,1.6347,33,4.2647,1.6505,34,4.3636,1.9356,33
abducted,4.8125,1.2854,32,4.2121,1.8710,33,5.3000,1.7349,30
abduction,4.9118,1.8047,34,4.7941,1.8276,34,4.3636,1.7721,33
aberration,3.2174,1.8405,23,2.7083,1.9253,24,2.4848,1.9403,33
abide,2.4848,1.1314,33,2.3636,1.3667,33,4.2903,1.5902,31
ability,2.9412,1.3048,34,2.5152,1.2582,33,6.0000,1.0150,33
able,3.1818,1.7659,33,3.0571,1.5296,35,6.1818,1.1666,33
abode,4.4643,2.0956,28,4.4516,2.0610,31,3.1875,1.6665,32
abortion,5.4118,1.7340,34,4.3030,1.9460,33,4.8710,1.7733,31
abroad,4.5588,1.4591,34,4.4857,1.7299,35,6.0000,1.1456,32
abrupt,2.8529,1.3091,34,2.7059,1.4252,34,5.2353,1.3732,34
absorb,3.1875,1.3564,32,3.6774,1.7299,31,4.9655,0.8899,29
abstract,1.7143,1.5779,35,2.1714,1.4636,35,4.6970,1.8004,33
absurd,2.0645,0.8775,31,2.2333,1.3585,30,4.6296,1.4944,27
absurdly,2.5152,1.3055,33,2.4688,1.4358,32,4.2500,1.9685,32
abundance,3.2286,1.7742,35,3.9714,1.7482,35,4.5588,1.6304,34
abundant,3.0000,1.4349,34,2.8529,1.8332,34,4.9286,1.7306,28
abuse,3.4194,1.4761,31,3.9091,1.7121,33,5.2000,1.3515,30
abuser,4.6667,1.7350,33,5.0286,1.6645,35,4.4412,1.7522,34
abyss,3.1765,1.7400,34,4.2353,2.1565,34,3.2424,1.9074,33
academic,3.9375,1.4987,32,4.1667,1.5934,30,6.1724,0.8333,29
accelerate,4.5000,1.6847,34,4.5484,1.5417,31,6.0323,1.3556,31
accent,3.6000,1.6937,35,3.6176,2.0294,34,5.8387,1.3935,31
accept,3.1935,1.6148,31,2.9032,1.7844,31,6.1071,1.0803,28
acceptance,2.7941,1.4303,34,2.5152,1.1043,33,5.4063,1.3888,32
access,3.4545,1.6160,33,3.2500,1.1726,32,5.4688,1.2243,32
accident,4.3429,1.5665,35,4.9429,1.8508,35,6.1429,0.9147,28
accidental,2.9412,1.2820,34,3.1765,1.5237,34,5.8276,1.1163,29
accordion,6.5000,0.9471,34,6.4375,1.1709,32,3.7879,1.4514,33
accountant,5.8000,1.0456,30,5.1667,1.4395,30,4.6552,1.9168,29
accuse,2.3438,0.8877,32,2.4516,1.3875,31,4.8889,1.3966,27
accused,3.0882,1.4626,34,3.3824,1.6091,34,5.0000,1.6189,29
ace,3.1935,1.5538,31,3.6970,1.9922,33,4.2963,1.6514,27
ache,3.5625,1.5194,32,2.8000,1.5578,30,6.0000,0.8485,25
aches,3.8125,1.6852,32,3.2188,1.6533,32,5.5926,1.1630,27
achieve,2.8788,1.4304,33,2.6774,1.5322,31,5.6667,0.9813,27
achieved,2.5000,1.2661,34,3.0882,1.7718,34,5.9355,1.2164,31
achievement,2.9063,1.4000,32,3.8750,1.7455,32,6.2000,1.1372,30
acorn,6.6923,0.6057,26,6.5000,0.6814,28,4.4667,1.9448,30
acquire,3.0588,1.4337,34,2.5294,1.4600,34,5.1212,1.3873,33
acrobat,5.8750,1.1110,32,6.0000,0.8305,29,4.3000,1.9000,30
