word,CNC,CNC_SD,CNC_N,IMAG,IMAG_SD,IMAG_N,FAM,FAM_SD,FAM_N
activate,3.6765,1.7610,34,3.0625,1.6571,32,5.4194,1.4761,31
active,3.6774,1.2798,31,4.7500,1.6771,32,6.4483,0.7695,29
activity,3.9688,1.1854,32,4.6667,1.1976,33,5.6207,0.9618,29
actor,5.7000,1.1874,30,6.0000,1.0328,30,5.9231,1.5172,26
actress,6.0313,1.3106,32,6.5625,0.6092,32,5.6364,1.4630,22
actual,3.1176,1.8273,34,2.6176,1.8473,34,6.2188,0.8921,32
actually,2.6970,1.1674,33,2.2000,1.2829,35,6.2353,1.2381,34
acute,3.2353,1.6099,34,2.6970,1.6234,33,4.1818,1.9455,33
adage,3.5882,1.4576,17,2.2353,1.8320,17,2.0882,1.8370,34
adapt,3.1176,1.3008,34,3.0286,1.4439,35,5.3235,1.4697,34
add,4.2059,1.4303,34,3.9429,1.8814,35,6.2424,0.9544,33
addict,4.4000,1.6937,35,5.0000,1.6733,35,5.2727,1.5230,33
addicted,3.4063,1.5178,32,3.1212,1.8217,33,5.6000,1.5406,30
addition,3.6765,1.8266,34,3.3714,1.7086,35,5.3636,1.6664,33
address,5.0588,1.3271,34,4.3429,1.8508,35,5.7778,1.5947,27
address (postal),5.5806,1.4541,31,4.5588,1.6484,34,6.0968,1.1460,31
address (speak to),4.1143,1.6522,35,4.2000,1.6699,35,4.8571,1.7095,35
adequate,2.5000,1.3985,34,2.7879,1.5127,33,5.2258,1.7727,31
adjective,3.5938,1.7653,32,2.7419,1.6842,31,5.5667,1.2828,30
adjust,3.0606,1.3693,33,3.0000,1.6877,33,5.8148,1.2483,27
admiral,5.7059,1.4858,34,5.6875,1.5700,32,3.8000,1.8330,30
admire,2.7097,1.5068,31,3.6452,1.8587,31,6.0000,0.9813,27
admired,2.8824,1.3883,34,2.8529,1.5172,34,5.5714,1.1535,35
adopt,3.6452,1.4491,31,3.0968,1.5524,31,4.7931,1.5620,29
adorable,2.2581,0.7170,31,3.4688,1.5808,32,5.4583,0.9565,24
adore,2.3438,1.0189,32,3.3548,1.6762,31,5.0400,1.2800,25
adult,4.7778,1.3699,27,5.3704,1.3095,27,6.5185,0.6869,27
adultery,4.0294,1.6888,34,4.1515,1.9247,33,4.8000,1.6411,30
adults,5.4571,1.6621,35,6.1875,1.0440,32,6.5000,0.8466,30
advanced,2.7879,1.2249,33,3.0882,1.6155,34,6.0333,1.1101,30
advantage,2.8387,1.3935,31,2.7188,1.5659,32,5.8462,1.0631,26
adventure,2.9118,1.5410,34,4.7429,1.7459,35,5.5758,1.2560,33
adverb,3.3143,1.6864,35,2.5294,1.5384,34,4.7857,1.2917,28
adverse,2.4545,1.5194,33,2.5294,1.6131,34,4.7059,1.7910,34
adversity,2.4839,1.1034,31,2.5667,1.2828,30,4.1613,2.0176,31
advice,2.3529,1.1853,34,2.7576,1.5380,33,6.0667,1.3400,30
advise,3.7188,1.5255,32,2.7879,1.2734,33,5.6774,1.2284,31
advisor,5.3529,1.3258,34,4.1818,1.7137,33,5.1667,1.4395,30
advisors,4.7097,1.7075,31,4.6250,1.7984,32,5.6552,1.3964,29
aeroplane,6.7576,0.5521,33,6.8182,0.4576,33,6.2069,0.8461,29
afar,3.0667,1.5478,30,3.7879,1.6098,33,4.0323,1.9258,31
affair,3.3939,1.4342,33,4.4242,1.8096,33,5.6333,1.6017,30
affect,2.4118,1.1661,34,2.1765,1.1998,34,5.5313,1.3689,32
affection,3.1176,1.9518,34,4.5294,1.7018,34,5.8485,1.0480,33
affectionate,3.4706,1.8188,34,4.6364,1.7892,33,6.1212,1.0943,33
afford,3.5758,1.6883,33,3.3636,1.4527,33,5.6250,1.4737,32
affordable,3.2000,1.3690,35,3.1714,1.5764,35,5.9394,1.0714,33
afraid,2.6857,1.3684,35,4.5152,1.6899,33,6.0345,1.2994,29
after,3.3143,1.4885,35,2.7429,1.4802,35,5.7000,1.4640,30
afterlife,2.3030,1.6420,33,2.9394,1.8081,33,4.8065,1.5117,31
age,3.9706,1.8706,34,3.2857,1.8909,35,6.3636,1.0392,33
aged,3.4412,1.5939,34,4.4412,1.5939,34,5.4375,1.5996,32
agent,4.7377,1.2662,61,4.3710,1.5265,62,4.9138,1.7644,58
aggression,3.5484,1.6818,31,4.4667,1.8209,30,4.8148,1.4666,27
aggressive,3.0625,1.1163,32,4.1613,1.6675,31,5.4828,1.3031,29
agile,3.6061,1.6686,33,4.4242,1.5769,33,4.2727,1.7968,33
agility,3.5152,1.6166,33,3.6571,2.0134,35,4.6333,1.8345,30
agony,3.0938,1.7564,32,4.2333,1.8918,30,5.2667,1.6111,30
agree,3.0625,1.4987,32,3.3333,1.6817,33,6.7586,0.5021,29
agreement,3.1714,1.5210,35,3.7273,1.8953,33,5.8710,1.2376,31
aid,4.3636,1.5338,33,4.0333,1.4716,30,5.4444,1.2571,27
aim,2.5455,1.3278,33,2.9412,1.6967,34,5.8750,1.1110,32
aim (objective),3.2941,1.8396,34,2.9091,1.5833,33,6.0303,1.0294,33
aim (target),4.6571,1.5846,35,5.2857,1.6137,35,5.9375,0.9662,32
air,4.2500,1.4577,32,2.9688,1.7227,32,6.1000,1.3379,20
airplane,6.7059,0.7870,34,6.8438,0.4408,32,6.1786,1.2263,28
airport,6.5000,0.8851,30,6.5517,0.6207,29,5.5769,1.8011,26
aisle,5.7419,1.0463,31,5.3667,1.0160,30,4.7143,1.3851,28
albatross,6.4754,1.1538,61,5.5439,1.6970,57,2.8308,1.8193,65
album,6.0000,1.0828,29,5.6333,0.9481,30,5.7600,1.4221,25
alcohol,6.4118,0.8087,34,6.2941,1.0718,34,6.1071,1.4228,28
alcoholic,4.4242,1.5576,33,5.4194,1.6612,31,5.9688,1.4892,32
alert,3.1875,1.4238,32,3.3333,1.5563,30,5.2400,1.3351,25
algebra,4.4688,1.9523,32,5.1818,1.5266,33,5.3448,1.7474,29
alien,4.0645,1.9828,31,5.7097,1.9040,31,4.9032,1.7844,31
alimony,4.3913,1.7629,23,2.5769,1.3636,26,2.6875,1.8445,32
alive,4.2353,2.1970,34,4.7879,2.0114,33,5.8276,1.2054,29
all,3.3125,1.8781,32,2.9355,1.4797,31,6.5926,1.1944,27
allergy,4.8788,1.4721,33,4.3235,1.8104,34,5.2813,1.3746,32
alley,6.0968,1.3040,31,6.1667,1.0028,30,4.9333,1.4817,30
alligator,6.6129,0.9731,31,6.6667,0.9428,33,4.9200,1.9580,25
allow,2.9706,1.4849,34,2.4118,1.3529,34,6.1000,0.9434,30
allowed,2.9714,1.4038,35,2.5152,1.4168,33,6.1515,0.7016,33
allure,2.5806,1.4091,31,2.5938,1.3195,32,3.4688,1.6005,32
aloft,3.3793,1.4243,29,3.1379,1.6759,29,3.0303,1.7492,33
alone,3.3714,1.7252,35,4.4000,1.6596,35,5.9333,1.2893,30
aloof,2.1379,1.0077,29,3.1724,1.8396,29,3.3824,1.7659,34
aloud,3.8000,1.6699,35,3.4857,1.8574,35,5.3793,1.0310,29
altar,5.8387,1.2207,31,5.9259,1.2149,27,3.8929,1.7594,28
alter,3.8333,2.0989,30,4.1613,2.1114,31,4.5385,1.4736,26
altitude,4.0303,1.5469,33,3.8182,1.8497,33,4.7419,1.7592,31
amateur,3.1176,1.6227,34,3.0857,1.6278,35,4.8438,1.6604,32
amaze,2.3333,0.9428,33,2.7941,1.7620,34,5.7333,1.2632,30
amazing,2.7742,1.6206,31,2.7813,1.5357,32,6.3077,1.0659,26
ambassador,5.2069,1.2423,29,4.5333,1.3840,30,4.3448,1.6034,29
amber,5.1613,1.6675,31,5.1333,1.5649,30,4.5926,1.7693,27
ambition,2.2941,1.5630,34,3.3529,1.8452,34,5.8125,1.4671,32
ambulance,6.7576,0.4285,33,6.8788,0.3264,33,6.4483,0.9317,29
ammunition,5.9677,0.8608,31,5.7931,1.3741,29,4.9688,1.7938,32
amount,3.9118,1.7383,34,3.1818,1.5066,33,6.4138,0.6704,29
amphibian,6.3636,0.7311,33,6.0000,1.4577,32,4.0323,1.5757,31
amplifier,5.5333,1.1470,30,5.1379,1.6130,29,4.2143,1.6335,28
amplify,3.8788,1.7711,33,3.3333,1.7385,30,4.8710,1.4971,31
amputate,5.1765,1.7059,34,5.6286,1.5508,35,4.1212,1.9031,33
amuse,2.8788,1.1216,33,3.6875,1.3793,32,5.8065,1.0901,31
amusement,3.7941,1.5297,34,4.5714,1.6782,35,5.6774,1.1747,31
amusing,2.6774,1.0892,31,3.7647,1.7832,34,6.1333,0.9214,30
analogue,3.8235,1.3820,34,3.3824,1.7323,34,3.5758,2.0005,33
analyst,4.7143,1.6313,35,3.8235,1.7568,34,4.1724,1.9488,29
anchor,6.4706,0.8484,34,6.6061,0.9829,33,5.1290,1.5810,31
ancient,3.8750,1.7093,32,4.3548,1.7515,31,5.0714,1.4863,28
anecdote,3.2647,2.0337,34,3.1471,1.9723,34,4.2647,1.6682,34
angel,3.3824,2.2624,34,5.4000,2.0100,30,5.6071,1.5888,28
anger,3.6471,1.8131,34,4.6333,1.7604,30,6.1333,0.8844,30
angle,4.2121,1.6834,33,4.8485,1.5398,33,5.0000,1.1767,26
angry,3.6000,1.5620,30,5.3438,1.2147,32,6.4000,0.9798,25
anguish,2.5588,1.1165,34,3.6176,1.7659,34,3.6364,1.7550,33
animal,6.3667,1.2512,30,6.6364,0.8097,33,6.2593,0.8429,27
animals,6.4483,1.1322,29,6.6774,0.7782,31,6.5556,0.6285,27
animosity,2.0968,1.1738,31,2.6774,1.5737,31,3.6129,1.8082,31
ankle,6.6800,0.6765,25,6.7778,0.6285,27,6.2273,1.1651,22
annoy,2.5000,0.9777,34,3.3529,1.6607,34,5.8387,1.2976,31
annoyance,2.9706,1.5046,34,3.4000,1.5529,35,5.7576,1.3264,33
annoying,3.2121,1.6470,33,3.6765,2.0540,34,6.3214,1.0019,28
answer,3.9412,1.7977,34,3.9355,1.6448,31,6.3438,0.9556,32
ant,6.6061,0.8856,33,6.7273,0.5089,33,5.4516,1.4556,31
anteater,6.7333,0.5121,30,6.4333,0.8439,30,3.4706,1.8508,34
antelope,6.4706,1.0357,34,6.5294,1.1176,34,3.9697,1.7492,33
anthem,4.5758,1.3264,33,3.3125,1.7036,32,5.0667,1.5478,30
anthropology,2.9677,1.7130,31,2.4375,1.6382,32,3.1429,1.9877,35
anticipation,2.2286,1.0166,35,2.8000,1.6699,35,5.1818,1.6414,33
anus,5.9063,1.2339,32,5.4839,1.6238,31,4.6364,1.8557,33
anxiety,2.6176,1.2606,34,3.9706,2.0071,34,5.4839,1.5631,31
anxious,2.5294,1.3114,34,3.7143,2.0081,35,5.9688,1.5709,32
apathy,2.0000,0.9837,31,2.5000,1.2956,28,3.5484,2.0135,31
ape,6.5758,0.8539,33,6.6129,0.8300,31,5.2222,1.8122,27
apex,4.2500,1.9933,28,4.0690,2.0499,29,2.9032,1.6916,31
apologize,3.4516,1.8288,31,4.0625,2.0454,32,6.2903,0.9569,31
apology,3.0588,1.3920,34,3.0000,1.5119,35,5.9063,1.2339,32
appalling,2.4118,1.0605,34,2.9394,1.5558,33,5.0313,1.5907,32
appear,2.7742,1.1559,31,3.0938,1.5882,32,5.6207,1.1571,29
appearance,2.5455,1.1571,33,3.1563,1.4385,32,5.5357,1.1175,28
appeared,2.7667,1.1743,30,2.5161,1.4113,31,5.5926,1.3405,27
applause,5.6000,1.1263,35,5.9143,1.2955,35,6.0000,0.9504,31
apple,6.8235,0.4518,34,6.9091,0.3785,33,6.7333,0.5735,30
Apple (brand),5.9118,1.2688,34,6.6765,0.7941,34,6.5938,0.8238,32
apple (fruit),6.7576,0.6045,33,6.7879,0.4772,33,6.6129,0.6564,31
appliance,5.3939,1.4552,33,5.0571,1.6552,35,5.5313,1.4358,32
applied,2.7813,1.4734,32,2.0667,1.0306,30,4.9259,1.4638,27
apply,3.0909,1.7297,33,2.6364,1.4938,33,5.7879,1.0374,33
appoint,3.5313,1.3916,32,3.0625,1.6382,32,4.5625,1.7843,32
appointment,5.0606,1.4962,33,4.0000,2.0301,33,5.6563,1.2402,32
appreciate,3.2903,1.2493,31,3.9394,1.5943,33,6.1786,1.1968,28
approval,3.3143,1.3684,35,3.4412,1.4388,34,5.9063,1.1280,32
approve,3.0968,1.4888,31,3.2059,1.6230,34,5.5862,1.2462,29
apricot,6.5000,1.0914,34,6.6875,0.5830,32,5.6774,1.6341,31
apron,6.4286,0.7284,28,6.6000,0.5538,30,4.6154,1.7338,26
aptitude,2.8182,1.2899,33,2.0625,1.1439,32,4.0303,1.5856,33
arch,5.3750,1.5360,32,5.6333,1.4716,30,4.1923,1.6875,26
archaeology,4.8286,1.6645,35,4.1143,2.0110,35,4.5938,1.6930,32
archer,6.2258,0.9055,31,6.3030,0.8699,33,4.1250,1.6910,32
archery,5.7273,1.2619,33,6.0303,1.3139,33,4.2581,1.8486,31
architect,6.0000,1.0954,35,5.1471,1.7679,34,5.1290,1.6606,31
archive,5.4286,1.4400,35,4.3529,1.8131,34,4.3529,1.6957,34
argue,4.0857,1.6102,35,4.9143,1.6102,35,6.0345,0.9994,29
argument,3.7879,1.3873,33,3.8125,1.6852,32,6.4138,1.2462,29
arise,3.1429,1.6238,35,3.2571,1.7459,35,4.1765,1.4445,34
aristocracy,4.0882,1.9907,34,4.0588,1.8620,34,3.9394,1.9375,33
aristocratic,4.2414,1.7151,29,4.0645,1.9166,31,3.8125,2.0068,32
arm,6.7097,0.4539,31,6.5588,1.3326,34,6.6786,0.7098,28
arm (limb),6.6944,0.7000,36,6.8788,0.4088,33,6.8276,0.4601,29
arm (weapon),5.7188,1.3517,32,5.5625,1.3448,32,4.4194,1.5611,31
armadillo,6.5455,0.9241,33,6.1250,1.4087,32,4.4194,2.1368,31
armed,4.7460,1.6900,63,5.0492,1.4758,61,4.5536,1.5109,56
armour,6.2500,0.8292,32,6.5862,0.5582,29,4.7097,1.9706,31
armoury,5.8125,1.2359,32,5.1290,1.4754,31,3.2121,1.6098,33
arms,6.6471,0.4779,34,6.4688,0.7064,32,6.3704,0.9087,27
arms (limbs),6.7429,0.4982,35,6.6000,0.8350,35,6.8000,0.6000,30
arms (weapons),6.2353,0.9719,34,6.2941,0.9245,34,4.6452,1.8237,31
army,6.1045,1.0241,67,6.2419,1.0268,62,5.3621,1.5614,58
aroma,3.5143,1.7464,35,3.5455,1.8273,33,4.5625,1.7489,32
arouse,2.8788,1.4514,33,3.2258,1.6404,31,5.0385,1.5561,26
aroused,2.6364,1.4938,33,4.1471,1.6294,34,5.7576,1.3933,33
array,2.9697,1.6234,33,2.8387,1.6084,31,3.9615,1.7205,26
arrest,4.7813,1.4520,32,5.3529,1.5696,34,5.4839,1.6238,31
arrested,4.8065,1.2552,31,4.6765,1.6578,34,5.7419,1.4135,31
arrive,4.2727,1.5030,33,3.8125,1.6477,32,6.0323,0.9995,31
arrogant,3.1935,1.2552,31,3.9688,1.9762,32,5.9286,1.2227,28
arrow,6.4118,0.8784,34,6.7097,0.4539,31,5.0645,1.8480,31
arrows,6.0333,0.9826,30,6.2813,0.9432,32,4.8710,1.8964,31
arse,6.0625,1.1709,32,6.2941,0.8585,34,6.1034,1.1550,29
arsehole,4.7941,1.7951,34,5.6765,1.7102,34,5.9394,1.3243,33
arson,4.8485,1.4796,33,4.7059,1.8073,34,4.1212,1.9189,33
art,4.3824,2.1559,34,5.7941,1.4096,34,6.2759,1.1714,29
artist,5.5000,1.7139,32,6.1875,0.9164,32,5.7500,1.4299,28
arts,3.5429,1.7622,35,4.0882,1.8047,34,5.9697,1.1930,33
ascend,3.8000,1.5639,35,4.6471,1.5882,34,5.0294,1.6536,34
ascent,4.0286,1.4439,35,4.2571,1.4994,35,4.2941,1.7745,34
ashamed,2.7273,1.0808,33,3.3030,1.5272,33,5.3793,1.6695,29
ashes,5.6471,1.6066,34,5.6571,1.5481,35,4.8824,1.6586,34
aspect,2.5000,1.3339,34,1.9697,1.1930,33,4.7667,1.5638,30
aspirin,6.0333,1.3034,30,5.8182,1.3361,33,5.9677,1.0920,31
ass,6.3824,0.9080,34,6.1765,1.1238,34,5.5625,1.4564,32
ass (donkey),6.8065,0.3951,31,6.7353,0.5034,34,4.9355,1.9664,31
ass (insult),2.8065,1.3777,31,2.8065,1.6347,31,4.5806,1.9473,31
assassin,5.6970,1.6603,33,5.6452,1.4491,31,4.4074,1.8511,27
assassinate,4.9706,1.7403,34,5.2813,1.5858,32,4.3871,1.3363,31
assault,4.0303,1.8338,33,4.9355,1.4127,31,5.2857,1.6004,28
asshole,4.6471,1.9835,34,4.7714,2.1525,35,5.6970,1.5469,33
assist,3.4412,1.3761,34,3.2581,1.4361,31,5.5161,1.2667,31
assistant,5.4118,1.3957,34,5.3714,1.1973,35,5.8710,1.3617,31
assuring,2.3000,0.9713,30,2.7188,1.2558,32,4.6071,1.4228,28
asteroid,6.0294,1.2001,34,5.6364,1.5139,33,4.4688,2.0461,32
asthma,5.5000,1.2426,34,4.8286,1.4830,35,5.1818,1.5851,33
astonish,2.6471,1.1602,34,3.0882,1.5972,34,4.9333,1.5478,30
astonished,2.5000,1.2426,34,3.4412,1.7689,34,5.6774,1.4455,31
astronaut,6.3871,1.0679,31,6.7667,0.5588,30,4.8966,2.0059,29
astronomer,5.3333,1.2737,30,4.8065,1.5329,31,3.8214,1.9830,28
astronomy,4.3939,1.4552,33,5.0000,1.7753,33,4.3548,1.5973,31
athletic,4.3871,1.7167,31,5.1935,1.6737,31,5.6333,1.4256,30
athletics,5.4242,1.6149,33,5.6875,1.2359,32,5.5000,1.2315,30
atmosphere,3.6452,2.0248,31,3.5938,1.8003,32,6.2222,0.8749,27
atom,5.4848,1.5787,33,3.7647,2.4017,34,4.3548,1.9269,31
atomic,4.6563,1.9939,32,5.2500,1.9039,32,4.5161,1.9654,31
atoms,5.3125,1.8445,32,4.5625,2.4614,32,5.3571,1.9859,28
atrocious,2.2121,1.1483,33,1.9412,1.1099,34,4.1818,1.5851,33
atrocity,3.2333,1.6670,30,3.4412,1.8501,34,3.6875,1.8275,32
attack,4.3636,1.7201,33,5.0606,1.4129,33,5.6250,1.4737,32
attacker,5.6970,1.2428,33,5.2500,1.6008,32,5.0303,1.6234,33
attempt,3.6286,1.5872,35,3.0294,1.6713,34,5.7273,1.2856,33
attendant,5.7941,1.3673,34,5.0857,1.4613,35,5.0000,1.6330,33
attention,3.2353,1.3945,34,3.4118,1.6291,34,6.0968,0.9953,31
attic,6.4000,0.7118,30,5.9643,1.0516,28,4.8800,1.7279,25
attitude,2.7879,1.3429,33,2.8750,1.7455,32,5.7667,1.4985,30
attract,2.9118,1.3584,34,3.6286,1.6051,35,6.0000,1.0445,33
attraction,2.6286,1.5691,35,3.8000,1.7857,35,6.4194,0.7524,31
attractive,2.8750,1.9162,32,4.7742,1.8441,31,6.1000,1.0116,30
attribute,2.7353,1.3998,34,2.7714,1.7902,35,4.2667,1.4360,30
auction,5.3143,1.6522,35,6.0286,0.9407,35,5.3226,1.7112,31
auctioneer,5.6071,1.1129,28,5.1935,1.4009,31,3.2759,1.8175,29
audience,5.6970,1.1411,33,6.0645,0.9482,31,6.1034,0.8447,29
auditorium,6.4375,0.8992,32,6.0313,1.5101,32,4.9643,1.8989,28
aunt,5.6970,1.4665,33,5.7647,1.6280,34,5.6875,1.4238,32
authentic,3.1818,1.5066,33,3.0000,1.8139,31,5.3548,1.3332,31
author,5.5758,1.1814,33,4.5758,1.7238,33,5.9091,1.3111,33
autopsy,5.3529,1.5696,34,5.0938,1.5484,32,4.3636,1.6664,33
autumn,4.6857,1.8169,35,6.1471,0.9741,34,6.2667,0.8138,30
avalanche,6.0333,0.8360,30,5.9643,0.9442,28,4.0714,1.6888,28
avenge,2.4545,1.2575,33,2.5882,1.1145,34,3.1786,1.7939,28
avenue,5.2667,1.0934,30,5.0625,1.5398,32,4.8400,1.4881,25
award,5.6176,1.4352,34,5.6471,1.1345,34,5.7586,1.2500,29
awarded,3.2258,1.1835,31,3.1000,1.4686,30,5.2083,1.3222,24
aware,2.6364,1.0392,33,2.5152,1.3055,33,5.6000,1.2806,30
away,3.0909,1.5641,33,2.9394,1.4759,33,6.1000,1.1358,30
awe,2.4848,1.5398,33,3.1143,1.8481,35,5.3226,1.6731,31
awesome,2.0938,0.9798,32,2.7188,1.6053,32,6.2308,0.8462,26
awful,2.0625,0.9662,32,3.0303,1.6785,33,5.9355,1.1053,31
awkward,2.8438,1.2774,32,3.3333,1.7174,33,5.8929,1.0467,28
axe,6.3939,1.0714,33,6.3438,1.0491,32,4.4138,1.8480,29
axle,5.8889,1.4487,27,5.4643,1.7623,28,3.7097,2.0192,31
baboon,6.6176,0.8049,34,6.5758,0.9857,33,4.3125,1.9912,32
baby,6.5926,0.6809,27,6.5926,0.5617,27,5.9231,1.0714,26
background,3.5313,1.5808,32,3.3125,1.7930,32,5.5000,1.1180,30
bacon,6.5000,0.9574,30,6.8750,0.3307,32,6.1724,1.3663,29
bacteria,5.6176,1.3507,34,4.8235,1.9474,34,5.3636,1.7024,33
bad,2.7714,1.9433,35,3.6765,1.7776,34,6.4375,1.0289,32
badge,6.5294,0.6056,34,6.4063,0.7441,32,5.3214,1.5365,28
badger,6.6452,0.8998,31,6.4333,1.3085,30,5.1613,1.7431,31
bag,6.6071,0.6176,28,6.4286,0.6227,28,6.5556,0.9162,27
baggage,5.6207,1.2707,29,5.9630,1.3466,27,5.1250,1.7396,24
bail,3.9429,1.5665,35,3.2286,1.4752,35,4.4000,1.9450,35
bait,4.8750,1.4737,32,4.7333,1.4360,30,3.7407,1.5298,27
bake,5.1714,1.2980,35,6.0294,0.9847,34,5.8667,1.2841,30
baker,6.2857,1.0302,35,6.3529,0.7624,34,5.4194,1.4318,31
bald,5.8788,1.2970,33,6.2813,1.3517,32,5.7813,1.6151,32
ball,6.5926,0.7333,27,6.6923,0.6057,26,6.4167,0.7592,24
ball (dance),5.5429,1.6448,35,5.6857,1.1154,35,4.7941,1.9369,34
ball (sphere),6.0000,1.5146,34,6.5143,0.9062,35,6.0000,1.5055,30
balloon,6.0313,1.3803,32,6.5806,0.8337,31,5.6667,1.2202,30
ballroom,6.5313,0.9008,32,6.2903,0.9226,31,4.8387,1.8333,31
bamboo,6.5882,0.6910,34,6.4839,0.9113,31,4.8929,2.0238,28
ban,3.5758,1.7238,33,3.1290,1.6410,31,5.3571,1.3684,28
banal,2.6316,1.1792,19,2.2105,1.0553,19,2.3448,1.4450,29
banana,6.6000,0.8350,35,6.7813,0.6488,32,6.4063,1.2713,32
band,5.7419,1.0463,31,6.0333,0.9826,30,6.0690,1.1724,29
band (music),5.5588,1.4791,34,6.0606,0.9191,33,6.5161,0.7565,31
band (ribbon),6.3636,0.8097,33,6.0303,1.5272,33,5.0938,1.5484,32
bandage,5.9714,1.2758,35,6.2188,1.2682,32,5.3548,1.6568,31
bandit,5.2188,1.3860,32,5.0333,1.3536,30,3.6296,1.7669,27
bandits,5.3030,1.2182,33,5.4118,1.5169,34,4.1875,1.9435,32
bang,4.3030,1.7664,33,4.7576,1.7413,33,5.5313,1.4358,32
banjo,6.4857,0.7698,35,6.3235,1.0210,34,4.3448,1.7671,29
bank,5.7647,1.3297,34,6.0857,1.1051,35,6.2500,1.1990,32
bank (money),6.1515,1.2582,33,6.5667,1.1455,30,6.2963,1.1487,27
bank (rely),3.1515,1.7254,33,2.7419,1.6650,31,4.0000,1.8910,33
bank (river),5.7500,1.4790,32,6.0606,0.8142,33,5.0313,1.8283,32
banker,6.2727,0.8266,33,5.8824,1.0506,34,5.3438,1.5931,32
bankrupt,4.6563,1.6509,32,3.5000,1.9203,32,5.4839,1.8469,31
banks,5.6176,1.5149,34,5.9706,1.2244,34,5.7667,1.2297,30
banks (money),5.9032,1.5315,31,5.7353,1.5012,34,5.9310,0.9443,29
