word,variance,entropy,imageability,concreteness
discretion,1966.151628904672,5.516042207136314,2.8438,2.3939
appearance,1969.8360712026688,5.49746393047712,3.1563,2.5455
ache,1970.4635931217663,4.702972516175668,2.8,3.5625
elegance,1976.632744166504,5.561426469535736,N/A,N/A
barley,1990.4739563898777,4.816149914672775,5.8286,6.5455
magazine,1994.633913346554,5.429554730871507,6.3846,6.7333
crab,2003.251458254752,4.241533421761468,6.6333,6.7813
beauty,2010.9744656011512,5.406979556699157,4.3125,2.5938
regret,2032.0649364360863,5.261076989644762,3.2353,2.7143
imagination,2041.6562494824027,5.571046813514884,3.4118,2.5429
pheasant,2053.477059740051,5.361110836717991,6.125,6.6176
chaos,2056.968117279434,4.93427835707648,4.7879,3.0588
tie,2064.999754649343,5.187982989289983,6.6774,6.4375
wisdom,2066.996724667124,5.602760374448998,2.5,1.9667
discomfort,2071.9103675904225,5.08145700892023,3.5,3.0625
reassurance,2076.1160987226667,5.5286601127546176,N/A,N/A
memory,2079.488123965993,5.436988658316134,3.1212,2.8529
passion,2092.5838869803147,4.483974514443127,3.6563,3.1935
equality,2095.363671700557,5.319485242790729,2.9688,2.2069
shirt,2103.330161189041,5.300985860614414,6.619,6.8077
relief,2112.2373532953447,5.216961943554057,N/A,N/A
tendency,2116.878946923899,5.751988900798386,2.3824,2.6765
divinity,2117.5852649429125,5.183810992869547,N/A,N/A
necklace,2119.136265399852,4.829911877489477,6.5294,6.6875
fish,2123.2201433314067,5.348543838019333,6.7037,6.8065
harp,2123.7992112471743,5.0979250906218425,6.6842,6.3684
stomach,2124.5032686301943,5.434563679454542,6.129,6.303
sanity,2129.3185682884355,5.457123701134766,3.0571,2.5
apple,2130.101080100661,2.925695473873523,6.9091,6.8235
misconception,2140.180055564808,5.5297738307059765,1.9286,2.2
opinion,2149.2020413208074,5.5663396609254185,2.4571,2.5
mansion,2158.224725352359,5.535470344558519,6.3793,6.5926
prune,2182.8429256203463,4.6626242019074144,5.2333,5.4545
blessing,2183.3233390658806,5.273186278111987,3.5758,2.7222
democracy,2206.854746815331,4.502847687163644,3.5455,3.2581
thistle,2220.2115001318284,5.448413804723929,6.0714,6.5926
horn,2224.984980711472,4.8671535223530284,6.4118,6.6176
bracelet,2231.782584572086,5.2673098824767735,6.4194,6.7353
noblity,2234.677044644461,5.27462952039029,N/A,N/A
humiliation,2240.343028710162,5.312489927381213,3.875,2.7879
embarrassment,2291.5507430126445,4.5890506663737884,4.0938,3.0645
grape,2291.746269890973,4.172186123003404,6.68,6.48
insanity,2309.5186006584813,5.25289158591155,4.3438,2.4839
randomness,2320.3556199690343,5.714373885723876,N/A,N/A
responsibility,2329.391207319919,5.857134973855094,2.8182,2.7941
oddity,2336.135735863091,5.67888997501817,N/A,N/A
magic,2394.6882815258145,5.496606114523906,4.8788,2.1176
glee,2395.809739688356,4.888405967892635,4.5294,2.7353
glamour,2399.6413933691033,4.783084382768916,3.9063,2.9032
absurdity,2403.0939963200944,5.8482972893974665,N/A,N/A
optimism,2406.7437854224795,5.107483267500737,2.9706,2.0588
adoration,2414.7417770936827,5.202727559463306,N/A,N/A
loyal,2426.299942633631,5.171755071609918,3.0909,3.0909
complexity,2432.2238375349943,5.7095299327284,N/A,N/A
obviousness,2434.6675709458927,5.723180613549782,N/A,N/A
faith,2440.502721408754,5.3723733084088945,3.4857,2.2857
peculiarity,2445.577428796085,5.652743539374678,N/A,N/A
justice,2454.963567862869,5.545670344616697,3.5714,2.9714
communication,2472.9451436480317,5.282839539697648,4.2,3.8235
reality,2480.0980157169665,5.5038146648963515,N/A,N/A
anxiety,2490.431117245217,5.228788767792191,3.9706,2.6176
verb,2495.1465589687805,5.395744544844545,2.5313,3.5625
diversity,2512.057673339139,5.499220597103489,N/A,N/A
obligation,2516.627345514309,5.642010395058332,N/A,N/A
surprise,2558.5753190756504,4.931604112022142,4.3939,3.1471
playfulness,2566.7190419938465,5.261966602253621,N/A,N/A
gossip,2575.996913862813,5.609534294606854,4,3
defiance,2606.890246455241,4.657971820539367,N/A,N/A
friendliness,2623.6739698579518,5.292311893462738,N/A,N/A
positivity,2635.538640681509,5.105682906525081,N/A,N/A
admiration,2645.419815350644,5.385838218812939,N/A,N/A
diner,2650.461506327861,5.325635117066381,N/A,N/A
happiness,2719.648573685299,4.571356673115372,5.303,2.9375
jealousy,2739.6809647496184,4.5036441982889315,4.0294,2.6765
desire,2751.2663315421096,4.979100819379648,3.0313,2.5758
joy,2753.439519857778,4.590168393076348,4.9412,3.2353
craziness,2772.1388192359864,5.294429804921871,N/A,N/A
temptation,2792.742652705006,4.922244649263483,3.5,2.7429
flag,2793.761647798937,4.4012184522131905,N/A,N/A
ego,2803.533021049806,5.536838815094073,3.2581,2.4545
pride,2873.6259872616197,5.345156328311024,3.4118,2.7647
butterfly,2887.48332688689,4.922979238409095,6.8333,6.4516
speed,2898.437903541274,4.8518806853278065,4.6333,3.4688
urge,2903.017493680306,5.306919142733632,2.6364,2.75
energy,2918.351364914006,4.628024982955158,N/A,N/A
heroism,2962.836920540932,5.212651695244786,3.9706,2.7059
robin,2973.8820901715276,4.796642575351725,6.6471,6.7879
success,3023.199837678595,4.7711934165189165,4.1429,3.2059
freedom,3113.228876780025,5.111711660453358,3.4286,2.0882
fame,3166.824420787964,5.010009900227123,4.0625,2.6774
excitement,3169.6942019003886,5.08523177103641,4.875,2.9697
