word,variance,entropy,imageability,concreteness
chalk,505.15836417565384,3.347274284048836,6.4615,6.6786
mirror,646.825813223164,4.150287578731541,6.4706,6.5882
tomato,685.6845782294746,2.1521941147924406,6.5806,6.8
bone,691.5766687779297,3.1944036455262044,6.6429,6.7333
elephant,701.1901045644963,4.073852750923128,6.8596,6.8833
sun,717.5463137335927,1.9207265782035097,6.7097,6.7273
ocean,724.38816741366,4.043316366646673,6.381,6.5714
lemon,754.8701669709798,1.8617443745930655,6.6296,6.7931
road,757.9876298004667,3.7317369782205856,6.4643,6.1379
jeans,802.7095447380267,3.5708122667165787,6.5385,6.8519
skin,813.7568634842047,3.414789951935122,6.5926,6.4483
fire,823.7649325895112,2.6467493841705965,6.5806,6.3438
vegetable,843.3588270648236,3.1095295615639724,6.6452,6.6061
tree,910.3294081751897,3.0519887336777116,6.6667,6.92
spinach,918.5955340205304,3.1029665516608267,6.5,6.75
fork,927.603007452411,4.2951841971280045,6.6719,6.6094
rose,931.2193241619118,3.2093905412283057,6.7857,6.6364
cockroach,961.3780015802473,4.1292834087457715,6.32,6.6923
rock,1008.4973404356423,4.437592087106111,6.3939,6.6176
window,1055.7347309489512,4.61441153992229,6.6857,6.7429
toast,1085.7396591193972,4.0638868610592995,6.875,6.3226
vagueness,1091.5991399179657,4.935600895209035,N/A,N/A
cigar,1100.5222144117454,3.9984419065677512,6.5926,6.6207
stethoscope,1107.5273043872887,4.768496869907071,6.28,6.75
hammer,1126.2485597569846,4.5773436784050565,6.6286,6.6364
suit,1142.9627088543348,4.269160080971627,6.2188,6
needle,1153.6183915089175,4.38718932819593,6.4118,6.7143
toilet,1161.3946258408305,4.1783192101483335,6.6571,6.8182
iron,1167.3807980079393,4.6299515813060514,5.8529,6.0882
panther,1167.9510615828665,3.4881640120027746,6.2647,6.7576
computer,1194.3738269862588,4.813012626245081,6.9259,6.7188
moose,1201.5833246325576,4.068749670952028,6.25,6.5806
weapon,1207.113455813343,4.028523266618762,6.129,6.5484
sadness,1236.6341810142371,4.4736892610532495,4.0968,2.7576
belt,1237.5238644086035,4.1935551819687635,6.3077,6.5926
hell,1249.1357289068435,3.2947068430923365,5.1429,2.2059
clarity,1272.956078502294,4.746648689571546,N/A,N/A
otter,1290.097706736407,4.712740511072288,6.7813,6.7879
staple,1304.2663941650435,4.741343390338686,5.7188,6.1212
unicorn,1311.1613087352573,4.809601668618095,5.8667,4.2424
microscope,1315.164034878634,5.011843339588919,6.4118,6.5758
tortoise,1321.096056058128,4.641681528187074,6.7407,6.7857
love,1322.0153835344045,3.4172746934905063,4.3939,2.7188
bread,1332.748758071169,4.165280640096539,6.8214,6.8
tripod,1348.4124044407033,4.904780941389363,6.1765,6.5588
shyness,1383.9952369347793,4.9719089499635665,N/A,N/A
razor,1389.6144814581469,4.788224372410541,6.4483,6.6333
dream,1394.2315300368311,5.214434084690464,4.0588,2.7188
shoes,1411.4829906334098,4.708057872527194,6.4242,6.6
tarantula,1422.145472678968,4.5983394836931195,6.6471,6.8667
wilderness,1424.6757477508138,4.450686236601082,6.0303,5.2258
flesh,1434.0310293448583,3.7479139094483687,6.2667,6.6667
kangaroo,1442.646657088227,4.447900014696294,6.8333,6.8889
dread,1448.6656237878617,4.515892706012468,2.875,2.5
hate,1477.3862304206864,3.7322977372238277,3.3143,3.1429
chair,1488.8578112513846,4.8486808710625775,6.6,6.6563
heaven,1489.1426185109735,4.605063594531355,4.303,2.3143
cabinet,1490.5817915263947,4.520462045614178,6.4412,6.7059
warehouse,1501.0908704178814,4.878456641621228,6.4194,6.6765
ferret,1504.5677082536756,5.002560258334968,6.3333,6.8148
cow,1505.3652225633587,4.4568022641482266,6.8788,6.8485
inflamation,1519.9374968635886,3.7047443195114886,N/A,N/A
modesty,1521.5496995606982,5.446489197858161,N/A,N/A
gloom,1523.4914604508924,5.019686794439163,3.7879,2.6176
romance,1535.3845062649282,4.132565947091737,4.7941,3.4857
shampoo,1535.6787735528278,5.0009754843530025,6.2414,6.6296
hill,1537.0636125420654,4.209626670098928,6.32,6.6818
toe,1538.6684685473988,4.8861095925616835,6.8065,6.8235
earphones,1572.320550479469,4.9509342967072385,6.7667,6.8333
badger,1581.2665120434867,4.7851796078693045,6.4333,6.6452
building,1615.973592941916,5.157119358369272,6.7273,6.8125
despair,1625.0266414482653,5.0262318220771744,3.7059,3.0645
weariness,1628.436114573496,5.490695952441814,N/A,N/A
leg,1634.149979139674,4.967378947502463,6.6471,6.6176
disgust,1639.288121796455,4.991410919059663,4.25,3.1212
daffodil,1639.498087468036,3.0848833974972094,6.9118,6.7647
train,1648.177832093781,4.825005933364468,6.6885,6.6825
corpse,1654.0807792086612,4.856542007942822,5.9677,6.6071
couch,1687.3697515508445,5.3084193100890325,6.7231,6.746
hairdryer,1729.9553237354817,5.3702781274793425,6.75,6.8529
hawk,1730.4330023356574,5.015186545847367,6.2581,6.7097
gist,1731.9569877086608,5.658585233832968,2.0571,2.2647
cornflour,1734.6076576267776,3.7980823631851375,6.1818,6.7188
windmill,1734.955388185584,5.203363029620282,6.3226,6.5806
mysterious,1745.1777436609545,5.359066394469885,N/A,N/A
insect,1757.922093383671,5.063543363160451,6.2941,6.6452
seat,1763.9731169728175,5.25136443532992,6.2647,6.6667
pain,1767.7614367780222,4.064316548951726,4.4375,3.7188
canyon,1795.2115718384937,4.875773751913031,6.3939,6.6176
lobster,1807.2659056022005,3.411698355592208,6.7,6.7647
boat,1812.5448238511965,5.232642459845174,6.8448,6.7344
chest,1824.88538237461,5.021648169989466,6.0714,6
suffering,1829.3285076888424,4.7607323546224505,4.4706,3.0857
berry,1839.66774525746,4.246971402320096,6.3429,6.5625
thoughtlessness,1840.2088983446313,5.624066703119303,N/A,N/A
bunkbed,1869.1886983387424,5.1672644938517465,6.303,6.5588
notion,1884.9356262070817,5.394808161961361,2.0968,2.125
book,1893.6368562213395,5.655256506415232,6.5652,6.7778
drums,1897.0458254081145,5.450207393074188,6.7143,6.7407
noun,1914.1954592696904,5.647351033869934,2.9375,4.0323
theory,1925.964611509344,5.360511300240385,2.7143,2.9118
muscle,1930.4240828910386,5.127753473332699,6.3333,6.4667
fear,1934.9716112409965,4.618528767107624,3.8485,2.9706
viciousness,1938.9701565209011,4.431254703619505,N/A,N/A
trouble,1939.0454125763974,4.39042960597724,3.4286,3.2
purse,1939.1957477442152,5.490866636996887,6.6207,6.5
bus,1949.1339924371428,3.2432019684441453,6.7241,6.8824
revolt,1963.0633014263333,4.160457761421567,3.5806,3.375
