participantID,wordSetID,rt,stimulus,trial_index,key_press
652,0,2751.454999903217,2,3,56
652,0,923.9700001198798,4,4,53
652,0,701.0399999562651,5,5,51
300,0,6856.444999983069,2,3,56
300,0,5175.814999965951,4,4,53
300,0,1793.660000024829,5,5,51
519,0,1613.4450000245124,2,3,56
519,0,1550.1100000110455,4,4,53
519,0,6238.650000013877,5,5,51
65,0,7905.904999934137,2,3,56
65,0,2183.4400000516325,4,4,53
65,0,1775.8400000166148,5,5,51
314,0,5257.924999983516,2,3,56
314,0,2036.1699999775738,4,4,53
314,0,1250.049999973271,5,5,51
431,0,1455.5549999931827,2,3,56
431,0,1422.3050000000512,4,4,53
431,0,1253.9749999996275,5,5,56
370,0,2618.5499999992317,2,3,56
370,0,1622.160000002652,4,4,53
370,0,1791.8649999992922,5,5,51
735,0,1572.9350000037812,2,3,56
735,0,2566.9549999875017,4,4,53
735,0,8213.950000004843,5,5,51
465,0,10347.000000008848,2,3,56
465,0,2236.0000000335276,4,4,53
465,0,4.0000000153668225,5,5,52
437,0,3618.0000002495944,2,3,56
437,0,1773.0000000447035,4,4,53
437,0,3376.000000163913,5,5,51
346,0,1812.9750000080094,2,3,56
346,0,943.1600000243634,4,4,53
346,0,1371.4700000127777,5,5,51
50,0,4657.654999988154,2,3,56
50,0,1436.3299999968149,4,4,53
50,0,1321.0000000544824,5,5,51
239,0,4929.614999971818,2,3,56
239,0,2870.714999968186,4,4,53
239,0,1691.7750000138767,5,5,51
347,0,2708.504999987781,2,3,56
347,0,1904.2549999430776,4,4,53
347,0,1582.9650000669062,5,5,51
399,0,1687.6550000015413,2,3,56
399,0,2326.6050000092946,4,4,53
399,0,3197.4150000023656,5,5,51
38,0,39674.770000001445,2,3,56
38,0,1537.0449999973061,4,4,53
38,0,1039.9800000013784,5,5,51
409,0,4017.3450000584126,2,3,56
409,0,1977.7049999684095,4,4,53
409,0,1995.325000025332,5,5,51
633,0,2274.089999962598,2,3,56
633,0,2443.9499999862164,4,4,53
633,0,1272.2000000067055,5,5,51
670,0,15283.010000013746,2,3,56
670,0,4693.72000003932,4,4,53
670,0,3335.900000005495,5,5,51
313,0,3630.750000011176,2,3,56
313,0,1245.8499999775086,4,4,53
313,0,1189.89499998861,5,5,51
84,0,2495.7949999998164,2,3,56
84,0,2442.994999999428,4,4,53
84,0,1614.6149999995032,5,5,56
612,0,12071,2,3,56
612,0,1573,4,4,53
612,0,1255,5,5,51
70,0,23294.999999925494,2,3,13
70,0,13341.999999713153,4,4,13
70,0,4378.000000026077,5,5,13
