word,sliderResponse,condition
temptation,41,abstract
romance,100,concrete
robin,77,concrete
corpse,17,abstract
sadness,43,concrete
playfulness,56,abstract
barley,79,abstract
shampoo,25,abstract
appearance,12,abstract
pain,30,concrete
lemon,91,concrete
chalk,68,concrete
optimism,80,abstract
heaven,36,concrete
ache,24,concrete
excitement,75,concrete
fork,69,concrete
mansion,49,abstract
computer,45,concrete
urge,28,abstract
desire,75,concrete
gloom,74,abstract
toe,70,abstract
tarantula,73,concrete
rock,75,concrete
pheasant,86,abstract
faith,35,abstract
success,21,concrete
loyal,25,abstract
sun,81,concrete
bone,58,concrete
energy,81,concrete
fish,10,abstract
tarantula,38,concrete
rose,74,concrete
energy,70,concrete
staple,72,concrete
heroism,63,abstract
belt,48,concrete
belt,71,concrete
boat,72,abstract
success,65,concrete
relief,67,abstract
sadness,79,concrete
divinity,20,abstract
bone,76,concrete
barley,74,abstract
rose,77,concrete
loyal,38,abstract
success,80,concrete
desire,61,concrete
urge,35,abstract
pain,75,concrete
relief,57,abstract
faith,59,abstract
boat,57,abstract
optimism,68,abstract
fish,68,abstract
bone,59,concrete
excitement,65,concrete
temptation,70,abstract
urge,61,abstract
computer,53,concrete
lemon,86,concrete
pain,78,concrete
corpse,61,abstract
corpse,38,abstract
relief,56,abstract
desire,56,concrete
fish,86,abstract
rock,83,concrete
sun,98,concrete
romance,100,concrete
gloom,35,abstract
energy,69,concrete
toe,71,abstract
heaven,13,concrete
faith,93,abstract
playfulness,54,abstract
corpse,23,abstract
rock,75,concrete
appearance,62,abstract
heaven,64,concrete
corpse,65,abstract
mansion,64,abstract
robin,5,concrete
loyal,5,abstract
fork,66,concrete
heroism,68,abstract
success,90,concrete
optimism,32,abstract
divinity,70,abstract
heroism,61,abstract
sun,74,concrete
sadness,22,concrete
pheasant,73,abstract
optimism,52,abstract
staple,78,concrete
rose,85,concrete
shampoo,47,abstract
heroism,12,abstract
heaven,84,concrete
mansion,19,abstract
robin,67,concrete
rock,55,concrete
ache,72,concrete
rose,80,concrete
romance,75,concrete
computer,29,concrete
chalk,84,concrete
temptation,59,abstract
romance,16,concrete
robin,95,concrete
fish,65,abstract
urge,36,abstract
pheasant,9,abstract
pheasant,63,abstract
lemon,92,concrete
toe,7,abstract
mansion,79,abstract
energy,71,concrete
desire,10,concrete
playfulness,61,abstract
ache,15,concrete
staple,55,concrete
toe,67,abstract
chalk,72,concrete
sun,85,concrete
appearance,21,abstract
belt,88,concrete
tarantula,73,concrete
tarantula,100,concrete
belt,90,concrete
temptation,56,abstract
mansion,68,abstract
excitement,83,concrete
divinity,68,abstract
faith,12,abstract
heaven,81,concrete
appearance,75,abstract
playfulness,61,abstract
lemon,82,concrete
shampoo,12,abstract
computer,74,concrete
divinity,17,abstract
gloom,71,abstract
appearance,68,abstract
shampoo,76,abstract
bone,88,concrete
loyal,77,abstract
excitement,76,concrete
gloom,82,abstract
boat,24,abstract
sadness,78,concrete
rock,70,concrete
boat,72,abstract
fish,65,abstract
desire,89,concrete
belt,68,concrete
relief,57,abstract
fork,85,concrete
romance,72,concrete
staple,71,concrete
excitement,69,concrete
