word,sliderResponse,condition
gloom,95,abstract
tarantula,91,concrete
fork,68,concrete
success,85,concrete
barley,64,abstract
divinity,61,abstract
robin,71,concrete
barley,85,abstract
sadness,25,concrete
chalk,67,concrete
pain,58,concrete
optimism,72,abstract
bone,58,concrete
lemon,93,concrete
ache,69,concrete
playfulness,87,abstract
fork,95,concrete
rose,95,concrete
heroism,73,abstract
pheasant,97,abstract
pain,74,concrete
temptation,90,abstract
chalk,90,concrete
staple,88,concrete
computer,47,concrete
boat,83,abstract
faith,40,abstract
sun,100,concrete
shampoo,64,abstract
relief,92,abstract
playfulness,49,abstract
toe,42,abstract
tarantula,96,concrete
loyal,82,abstract
heaven,97,concrete
belt,77,concrete
barley,74,abstract
sun,100,concrete
corpse,46,abstract
desire,44,concrete
lemon,100,concrete
pain,81,concrete
urge,90,abstract
fork,100,concrete
shampoo,83,abstract
loyal,65,abstract
gloom,49,abstract
robin,50,concrete
ache,22,concrete
appearance,14,abstract
corpse,1,abstract
fish,82,abstract
energy,79,concrete
romance,100,concrete
energy,81,concrete
ache,30,concrete
urge,49,abstract
tarantula,76,concrete
faith,37,abstract
rock,89,concrete
mansion,82,abstract
success,89,concrete
loyal,51,abstract
relief,77,abstract
bone,100,concrete
shampoo,81,abstract
excitement,88,concrete
chalk,100,concrete
barley,94,abstract
mansion,70,abstract
fork,93,concrete
energy,84,concrete
temptation,88,abstract
gloom,59,abstract
optimism,86,abstract
divinity,27,abstract
barley,86,abstract
urge,71,abstract
staple,70,concrete
energy,98,concrete
faith,85,abstract
belt,73,concrete
success,97,concrete
chalk,30,concrete
loyal,76,abstract
optimism,39,abstract
pain,88,concrete
computer,52,concrete
appearance,31,abstract
toe,92,abstract
relief,66,abstract
computer,69,concrete
sadness,72,concrete
bone,34,concrete
robin,63,concrete
divinity,93,abstract
chalk,61,concrete
heroism,63,abstract
mansion,39,abstract
rose,84,concrete
rose,100,concrete
sadness,59,concrete
staple,100,concrete
belt,76,concrete
excitement,40,concrete
computer,18,concrete
computer,50,concrete
temptation,68,abstract
playfulness,68,abstract
boat,89,abstract
urge,23,abstract
ache,76,concrete
heaven,81,concrete
bone,46,concrete
rock,100,concrete
heroism,13,abstract
heaven,45,concrete
excitement,82,concrete
robin,71,concrete
fish,62,abstract
pain,66,concrete
pheasant,9,abstract
playfulness,31,abstract
rock,29,concrete
lemon,86,concrete
staple,34,concrete
optimism,40,abstract
heroism,63,abstract
pheasant,30,abstract
pheasant,42,abstract
pain,66,concrete
toe,80,abstract
playfulness,72,abstract
loyal,29,abstract
sun,100,concrete
lemon,65,concrete
success,84,concrete
romance,100,concrete
appearance,51,abstract
relief,29,abstract
desire,92,concrete
desire,35,concrete
success,64,concrete
boat,22,abstract
tarantula,37,concrete
loyal,66,abstract
boat,41,abstract
fish,19,abstract
excitement,33,concrete
temptation,32,abstract
barley,37,abstract
energy,58,concrete
belt,40,concrete
heroism,7,abstract
success,62,concrete
toe,30,abstract
sun,73,concrete
heroism,3,abstract
fork,54,concrete
corpse,35,abstract
rock,63,concrete
sadness,29,concrete
mansion,66,abstract
robin,37,concrete
faith,35,abstract
lemon,94,concrete
rose,61,concrete
rock,44,concrete
belt,66,concrete
pheasant,3,abstract
shampoo,32,abstract
shampoo,37,abstract
optimism,33,abstract
temptation,25,abstract
gloom,24,abstract
ache,37,concrete
bone,67,concrete
lemon,80,concrete
chalk,48,concrete
urge,2,abstract
staple,41,concrete
chalk,31,concrete
barley,23,abstract
ache,32,concrete
boat,66,abstract
heaven,43,concrete
romance,71,concrete
playfulness,5,abstract
fish,68,abstract
desire,31,concrete
urge,33,abstract
tarantula,26,concrete
fork,39,concrete
energy,58,concrete
rose,56,concrete
faith,33,abstract
appearance,18,abstract
barley,69,abstract
belt,36,concrete
divinity,66,abstract
sun,58,concrete
corpse,66,abstract
optimism,35,abstract
heroism,31,abstract
pain,40,concrete
relief,65,abstract
appearance,36,abstract
ache,17,concrete
toe,25,abstract
robin,89,concrete
divinity,29,abstract
relief,10,abstract
optimism,25,abstract
robin,32,concrete
shampoo,4,abstract
tarantula,56,concrete
romance,41,concrete
computer,74,concrete
boat,63,abstract
energy,23,concrete
tarantula,60,concrete
optimism,19,abstract
fish,28,abstract
toe,47,abstract
tarantula,71,concrete
corpse,34,abstract
fork,88,concrete
fork,65,concrete
gloom,53,abstract
sun,68,concrete
bone,31,concrete
mansion,1,abstract
success,80,concrete
boat,28,abstract
lemon,98,concrete
rose,70,concrete
relief,35,abstract
pheasant,28,abstract
shampoo,73,abstract
gloom,35,abstract
lemon,76,concrete
heaven,57,concrete
appearance,100,abstract
loyal,33,abstract
belt,39,concrete
gloom,44,abstract
sun,100,concrete
bone,84,concrete
sadness,32,concrete
ache,84,concrete
chalk,57,concrete
rose,69,concrete
excitement,34,concrete
fish,100,abstract
playfulness,30,abstract
sadness,74,concrete
playfulness,24,abstract
bone,71,concrete
bone,69,concrete
pain,35,concrete
desire,94,concrete
desire,14,concrete
optimism,66,abstract
success,30,concrete
tarantula,70,concrete
temptation,8,abstract
excitement,19,concrete
relief,36,abstract
faith,73,abstract
pheasant,13,abstract
urge,23,abstract
desire,75,concrete
heaven,67,concrete
loyal,27,abstract
excitement,21,concrete
boat,87,abstract
excitement,74,concrete
urge,30,abstract
romance,33,concrete
mansion,8,abstract
rock,46,concrete
corpse,71,abstract
faith,44,abstract
pain,31,concrete
divinity,74,abstract
computer,10,concrete
heroism,66,abstract
temptation,65,abstract
loyal,97,abstract
chalk,5,concrete
rose,84,concrete
energy,75,concrete
divinity,60,abstract
success,68,concrete
sadness,69,concrete
lemon,83,concrete
desire,24,concrete
chalk,69,concrete
sun,92,concrete
appearance,68,abstract
urge,42,abstract
staple,92,concrete
fork,84,concrete
faith,43,abstract
temptation,40,abstract
bone,56,concrete
romance,63,concrete
energy,69,concrete
robin,87,concrete
appearance,83,abstract
sadness,46,concrete
boat,30,abstract
ache,79,concrete
robin,72,concrete
fish,67,abstract
ache,57,concrete
excitement,32,concrete
appearance,9,abstract
heroism,88,abstract
sun,62,concrete
heaven,83,concrete
rose,79,concrete
temptation,40,abstract
barley,63,abstract
energy,87,concrete
toe,29,abstract
staple,83,concrete
optimism,56,abstract
divinity,74,abstract
divinity,57,abstract
corpse,78,abstract
computer,40,concrete
rock,92,concrete
romance,80,concrete
shampoo,18,abstract
mansion,15,abstract
bone,95,concrete
desire,50,concrete
computer,67,concrete
romance,74,concrete
excitement,85,concrete
fork,85,concrete
corpse,77,abstract
corpse,57,abstract
rose,70,concrete
pheasant,83,abstract
heaven,77,concrete
mansion,70,abstract
shampoo,77,abstract
barley,92,abstract
gloom,85,abstract
success,74,concrete
rock,63,concrete
faith,36,abstract
heaven,69,concrete
fish,67,abstract
barley,69,abstract
appearance,25,abstract
optimism,72,abstract
lemon,90,concrete
pain,80,concrete
sadness,71,concrete
pain,65,concrete
belt,65,concrete
tarantula,69,concrete
barley,76,abstract
tarantula,60,concrete
fish,65,abstract
sadness,73,concrete
boat,65,abstract
chalk,100,concrete
fork,99,concrete
gloom,100,abstract
romance,87,concrete
faith,96,abstract
chalk,91,concrete
pheasant,63,abstract
divinity,92,abstract
rose,84,concrete
shampoo,24,abstract
temptation,90,abstract
energy,29,concrete
urge,79,abstract
relief,81,abstract
lemon,79,concrete
ache,61,concrete
staple,68,concrete
staple,87,concrete
heroism,62,abstract
sun,68,concrete
toe,75,abstract
rock,42,concrete
barley,59,abstract
toe,64,abstract
robin,70,concrete
success,61,concrete
toe,92,abstract
toe,65,abstract
playfulness,75,abstract
staple,75,concrete
sun,91,concrete
romance,65,concrete
heroism,69,abstract
desire,69,concrete
mansion,64,abstract
rock,84,concrete
computer,66,concrete
boat,76,abstract
pheasant,61,abstract
belt,96,concrete
relief,97,abstract
loyal,72,abstract
loyal,88,abstract
urge,79,abstract
gloom,79,abstract
pheasant,91,abstract
playfulness,82,abstract
temptation,28,abstract
pain,88,concrete
computer,66,concrete
divinity,61,abstract
gloom,75,abstract
relief,32,abstract
playfulness,18,abstract
sadness,79,concrete
robin,82,concrete
staple,75,concrete
belt,53,concrete
mansion,38,abstract
fish,81,abstract
corpse,79,abstract
robin,39,concrete
faith,28,abstract
barley,16,abstract
sun,89,concrete
pain,85,concrete
temptation,13,abstract
boat,32,abstract
loyal,30,abstract
computer,13,concrete
lemon,75,concrete
desire,62,concrete
staple,17,concrete
pheasant,11,abstract
rose,64,concrete
divinity,60,abstract
fish,29,abstract
bone,23,concrete
fork,46,concrete
relief,65,abstract
chalk,75,concrete
excitement,59,concrete
shampoo,61,abstract
gloom,97,abstract
tarantula,59,concrete
belt,33,concrete
excitement,76,concrete
energy,43,concrete
gloom,71,abstract
playfulness,28,abstract
computer,29,concrete
optimism,24,abstract
corpse,62,abstract
urge,56,abstract
appearance,66,abstract
heaven,87,concrete
robin,0,concrete
rock,46,concrete
optimism,54,abstract
success,27,concrete
sadness,70,concrete
staple,55,concrete
toe,34,abstract
barley,33,abstract
ache,40,concrete
urge,60,abstract
heroism,36,abstract
mansion,9,abstract
energy,32,concrete
romance,56,concrete
appearance,71,abstract
pain,77,concrete
temptation,75,abstract
mansion,24,abstract
belt,60,concrete
fork,70,concrete
chalk,38,concrete
heaven,75,concrete
toe,26,abstract
relief,35,abstract
rose,51,concrete
faith,40,abstract
shampoo,42,abstract
boat,73,abstract
pheasant,6,abstract
loyal,67,abstract
lemon,84,concrete
rock,56,concrete
romance,86,concrete
sadness,92,concrete
sun,85,concrete
fish,38,abstract
divinity,81,abstract
success,56,concrete
bone,72,concrete
shampoo,60,abstract
tarantula,42,concrete
heroism,63,abstract
ache,42,concrete
desire,65,concrete
playfulness,64,abstract
corpse,62,abstract
fork,56,concrete
ache,74,concrete
rose,67,concrete
staple,55,concrete
heaven,71,concrete
pheasant,55,abstract
sun,94,concrete
faith,84,abstract
gloom,75,abstract
excitement,73,concrete
rock,69,concrete
sadness,79,concrete
appearance,65,abstract
lemon,65,concrete
romance,81,concrete
desire,68,concrete
temptation,38,abstract
heaven,61,concrete
energy,58,concrete
optimism,53,abstract
computer,59,concrete
ache,62,concrete
urge,58,abstract
divinity,58,abstract
computer,88,concrete
relief,53,abstract
fish,40,abstract
mansion,63,abstract
playfulness,61,abstract
desire,81,concrete
pain,62,concrete
tarantula,42,concrete
robin,86,concrete
heroism,54,abstract
excitement,57,concrete
barley,43,abstract
fish,74,abstract
mansion,55,abstract
lemon,62,concrete
toe,41,abstract
appearance,70,abstract
computer,73,concrete
chalk,64,concrete
bone,67,concrete
sadness,91,concrete
lemon,79,concrete
faith,62,abstract
staple,75,concrete
boat,63,abstract
loyal,80,abstract
sun,84,concrete
rose,87,concrete
success,58,concrete
heroism,87,abstract
faith,72,abstract
loyal,61,abstract
mansion,92,abstract
divinity,83,abstract
belt,58,concrete
tarantula,89,concrete
fish,86,abstract
robin,43,concrete
romance,82,concrete
robin,89,concrete
fork,62,concrete
loyal,88,abstract
relief,91,abstract
corpse,95,abstract
rose,84,concrete
shampoo,64,abstract
gloom,84,abstract
corpse,41,abstract
rock,90,concrete
playfulness,75,abstract
romance,86,concrete
sun,83,concrete
desire,85,concrete
pheasant,89,abstract
shampoo,92,abstract
barley,82,abstract
sadness,90,concrete
energy,87,concrete
heroism,86,abstract
bone,91,concrete
rock,81,concrete
ache,90,concrete
divinity,56,abstract
playfulness,91,abstract
fork,85,concrete
pain,68,concrete
belt,77,concrete
optimism,88,abstract
success,85,concrete
corpse,88,abstract
energy,85,concrete
mansion,52,abstract
toe,84,abstract
robin,56,concrete
success,86,concrete
rose,82,concrete
optimism,84,abstract
chalk,31,concrete
optimism,71,abstract
belt,86,concrete
relief,81,abstract
pain,100,concrete
computer,18,concrete
faith,84,abstract
energy,91,concrete
belt,89,concrete
urge,12,abstract
gloom,87,abstract
bone,99,concrete
appearance,92,abstract
fork,87,concrete
tarantula,84,concrete
playfulness,35,abstract
bone,94,concrete
ache,94,concrete
optimism,64,abstract
heaven,76,concrete
barley,69,abstract
chalk,94,concrete
tarantula,29,concrete
divinity,34,abstract
urge,58,abstract
sadness,88,concrete
gloom,81,abstract
computer,22,concrete
fish,59,abstract
shampoo,91,abstract
boat,72,abstract
lemon,95,concrete
temptation,91,abstract
rock,67,concrete
romance,40,concrete
toe,96,abstract
romance,82,concrete
heaven,90,concrete
ache,65,concrete
heaven,86,concrete
appearance,67,abstract
chalk,82,concrete
energy,33,concrete
computer,82,concrete
temptation,91,abstract
relief,8,abstract
excitement,86,concrete
robin,60,concrete
heaven,82,concrete
boat,82,abstract
appearance,88,abstract
toe,20,abstract
desire,86,concrete
pain,95,concrete
toe,78,abstract
loyal,25,abstract
toe,30,abstract
heroism,46,abstract
boat,80,abstract
temptation,89,abstract
tarantula,91,concrete
loyal,61,abstract
success,81,concrete
pheasant,82,abstract
urge,7,abstract
barley,51,abstract
faith,88,abstract
urge,88,abstract
sadness,58,concrete
sadness,76,concrete
barley,38,abstract
excitement,93,concrete
heroism,90,abstract
desire,65,concrete
excitement,61,concrete
pheasant,68,abstract
staple,81,concrete
pain,40,concrete
sun,87,concrete
chalk,77,concrete
gloom,74,abstract
corpse,65,abstract
belt,76,concrete
pain,54,concrete
staple,84,concrete
corpse,97,abstract
faith,26,abstract
loyal,92,abstract
lemon,69,concrete
fish,67,abstract
rose,83,concrete
playfulness,87,abstract
lemon,87,concrete
success,39,concrete
romance,34,concrete
rock,93,concrete
robin,70,concrete
relief,87,abstract
temptation,67,abstract
fork,86,concrete
faith,13,abstract
sun,95,concrete
staple,24,concrete
belt,46,concrete
urge,86,abstract
fork,63,concrete
appearance,28,abstract
shampoo,98,abstract
sun,89,concrete
optimism,38,abstract
ache,27,concrete
divinity,64,abstract
bone,70,concrete
fish,93,abstract
loyal,40,abstract
corpse,75,abstract
energy,75,concrete
boat,74,abstract
appearance,10,abstract
faith,36,abstract
gloom,55,abstract
lemon,100,concrete
robin,72,concrete
heaven,64,concrete
excitement,29,concrete
boat,59,abstract
desire,100,concrete
staple,78,concrete
toe,100,abstract
urge,72,abstract
fork,39,concrete
desire,76,concrete
bone,61,concrete
energy,56,concrete
romance,40,concrete
temptation,20,abstract
temptation,64,abstract
sun,84,concrete
relief,42,abstract
divinity,34,abstract
barley,62,abstract
boat,39,abstract
heaven,100,concrete
excitement,30,concrete
pheasant,10,abstract
shampoo,57,abstract
belt,78,concrete
urge,34,abstract
loyal,100,abstract
belt,70,concrete
toe,10,abstract
faith,100,abstract
boat,26,abstract
optimism,57,abstract
loyal,32,abstract
rock,78,concrete
heaven,43,concrete
fork,100,concrete
excitement,65,concrete
gloom,55,abstract
belt,100,concrete
heroism,43,abstract
barley,57,abstract
mansion,39,abstract
tarantula,64,concrete
corpse,23,abstract
excitement,100,concrete
gloom,64,abstract
mansion,35,abstract
chalk,95,concrete
fish,55,abstract
optimism,29,abstract
success,57,concrete
shampoo,100,abstract
optimism,30,abstract
romance,35,concrete
mansion,61,abstract
staple,39,concrete
pheasant,25,abstract
optimism,100,abstract
success,76,concrete
lemon,90,concrete
shampoo,10,abstract
fork,37,concrete
gloom,100,abstract
tarantula,68,concrete
pain,26,concrete
chalk,71,concrete
corpse,44,abstract
appearance,100,abstract
sadness,9,concrete
sadness,41,concrete
toe,60,abstract
rose,100,concrete
pheasant,19,abstract
desire,73,concrete
toe,54,abstract
ache,66,concrete
heaven,40,concrete
pheasant,48,abstract
pain,74,concrete
pheasant,18,abstract
energy,100,concrete
ache,28,concrete
heroism,35,abstract
pheasant,36,abstract
barley,54,abstract
fork,20,concrete
computer,100,concrete
heroism,48,abstract
success,39,concrete
shampoo,10,abstract
energy,38,concrete
tarantula,100,concrete
success,73,concrete
heroism,37,abstract
mansion,28,abstract
computer,46,concrete
shampoo,23,abstract
ache,100,concrete
urge,27,abstract
staple,70,concrete
rose,67,concrete
rock,54,concrete
belt,87,concrete
divinity,29,abstract
divinity,21,abstract
sun,100,concrete
heroism,48,abstract
playfulness,16,abstract
playfulness,34,abstract
sun,97,concrete
loyal,64,abstract
barley,100,abstract
loyal,4,abstract
rose,94,concrete
lemon,76,concrete
tarantula,62,concrete
gloom,7,abstract
chalk,73,concrete
rock,78,concrete
playfulness,100,abstract
faith,75,abstract
energy,18,concrete
appearance,23,abstract
ache,43,concrete
robin,67,concrete
rock,61,concrete
romance,100,concrete
pain,61,concrete
mansion,9,abstract
sun,72,concrete
corpse,66,abstract
rose,68,concrete
relief,58,abstract
desire,14,concrete
robin,37,concrete
excitement,8,concrete
excitement,13,concrete
appearance,0,abstract
divinity,5,abstract
sadness,35,concrete
computer,40,concrete
robin,100,concrete
pain,32,concrete
rose,57,concrete
faith,8,abstract
boat,84,abstract
mansion,100,abstract
fish,79,abstract
faith,11,abstract
temptation,65,abstract
boat,6,abstract
lemon,31,concrete
optimism,7,abstract
relief,31,abstract
bone,100,concrete
appearance,35,abstract
bone,91,concrete
robin,70,concrete
playfulness,25,abstract
urge,25,abstract
fork,35,concrete
success,100,concrete
fish,87,abstract
romance,75,concrete
bone,87,concrete
shampoo,37,abstract
toe,67,abstract
pain,100,concrete
fork,62,concrete
energy,7,concrete
divinity,65,abstract
playfulness,13,abstract
divinity,100,abstract
playfulness,38,abstract
lemon,74,concrete
pheasant,23,abstract
ache,25,concrete
energy,15,concrete
energy,52,concrete
optimism,16,abstract
computer,81,concrete
ache,84,concrete
heroism,35,abstract
corpse,100,abstract
success,13,concrete
rock,79,concrete
staple,74,concrete
sadness,76,concrete
relief,95,abstract
barley,63,abstract
desire,14,concrete
chalk,92,concrete
rock,100,concrete
sun,82,concrete
robin,61,concrete
relief,25,abstract
bone,69,concrete
romance,4,concrete
divinity,39,abstract
staple,18,concrete
relief,100,abstract
barley,30,abstract
pheasant,64,abstract
divinity,56,abstract
pheasant,100,abstract
tarantula,98,concrete
sun,59,concrete
fork,73,concrete
fork,80,concrete
mansion,10,abstract
staple,100,concrete
bone,73,concrete
boat,74,abstract
staple,58,concrete
excitement,9,concrete
temptation,61,abstract
sadness,100,concrete
chalk,73,concrete
staple,89,concrete
rock,49,concrete
computer,32,concrete
heroism,63,abstract
desire,100,concrete
rose,76,concrete
corpse,85,abstract
mansion,32,abstract
loyal,87,abstract
playfulness,40,abstract
heaven,4,concrete
excitement,63,concrete
bone,56,concrete
pain,72,concrete
fish,100,abstract
lemon,98,concrete
lemon,95,concrete
staple,19,concrete
shampoo,14,abstract
divinity,38,abstract
appearance,28,abstract
temptation,100,abstract
faith,64,abstract
pheasant,6,abstract
ache,81,concrete
chalk,88,concrete
barley,62,abstract
chalk,100,concrete
heaven,29,concrete
bone,58,concrete
staple,88,concrete
toe,3,abstract
sadness,79,concrete
fish,20,abstract
desire,70,concrete
urge,100,abstract
rock,64,concrete
relief,64,abstract
excitement,41,concrete
belt,73,concrete
shampoo,47,abstract
heroism,100,abstract
loyal,92,abstract
pheasant,43,abstract
rose,93,concrete
bone,6,concrete
heaven,76,concrete
boat,100,abstract
loyal,25,abstract
gloom,98,abstract
excitement,62,concrete
heroism,60,abstract
computer,72,concrete
toe,17,abstract
belt,61,concrete
tarantula,28,concrete
corpse,69,abstract
ache,58,concrete
boat,63,abstract
computer,28,concrete
tarantula,24,concrete
heaven,54,concrete
chalk,72,concrete
shampoo,44,abstract
sadness,67,concrete
divinity,48,abstract
energy,85,concrete
robin,75,concrete
gloom,26,abstract
appearance,55,abstract
lemon,93,concrete
toe,28,abstract
bone,94,concrete
romance,75,concrete
temptation,6,abstract
desire,61,concrete
ache,80,concrete
rose,68,concrete
barley,62,abstract
tarantula,96,concrete
rock,67,concrete
temptation,10,abstract
optimism,30,abstract
rock,80,concrete
success,100,concrete
loyal,39,abstract
faith,67,abstract
sun,78,concrete
boat,90,abstract
staple,61,concrete
belt,100,concrete
tarantula,64,concrete
bone,22,concrete
corpse,8,abstract
gloom,95,abstract
fish,96,abstract
computer,22,concrete
desire,76,concrete
sun,65,concrete
boat,57,abstract
heaven,70,concrete
ache,2,concrete
rock,63,concrete
faith,83,abstract
relief,63,abstract
loyal,15,abstract
optimism,75,abstract
success,23,concrete
toe,42,abstract
urge,21,abstract
sun,10,concrete
temptation,77,abstract
fork,65,concrete
loyal,33,abstract
staple,88,concrete
staple,37,concrete
boat,25,abstract
belt,65,concrete
boat,77,abstract
tarantula,66,concrete
urge,7,abstract
mansion,16,abstract
desire,60,concrete
temptation,43,abstract
playfulness,73,abstract
robin,33,concrete
energy,60,concrete
playfulness,22,abstract
heaven,97,concrete
sadness,83,concrete
urge,34,abstract
chalk,88,concrete
faith,59,abstract
shampoo,32,abstract
mansion,33,abstract
appearance,8,abstract
romance,100,concrete
gloom,59,abstract
success,66,concrete
divinity,38,abstract
optimism,10,abstract
toe,80,abstract
temptation,39,abstract
belt,34,concrete
romance,63,concrete
sadness,93,concrete
ache,25,concrete
pain,65,concrete
heroism,82,abstract
appearance,43,abstract
corpse,73,abstract
success,29,concrete
faith,13,abstract
heroism,66,abstract
relief,57,abstract
bone,63,concrete
urge,63,abstract
faith,32,abstract
sun,93,concrete
fish,73,abstract
playfulness,78,abstract
tarantula,83,concrete
tarantula,69,concrete
relief,4,abstract
playfulness,72,abstract
relief,33,abstract
excitement,76,concrete
bone,100,concrete
computer,8,concrete
success,76,concrete
mansion,19,abstract
robin,67,concrete
fork,59,concrete
computer,61,concrete
lemon,100,concrete
rose,72,concrete
belt,30,concrete
sadness,62,concrete
energy,13,concrete
success,25,concrete
fork,7,concrete
boat,36,abstract
pain,58,concrete
desire,61,concrete
gloom,60,abstract
gloom,29,abstract
rose,82,concrete
barley,61,abstract
rock,78,concrete
shampoo,64,abstract
romance,38,concrete
temptation,53,abstract
pain,77,concrete
fish,39,abstract
pheasant,61,abstract
divinity,22,abstract
ache,37,concrete
ache,34,concrete
chalk,80,concrete
fish,91,abstract
temptation,55,abstract
romance,0,concrete
heaven,73,concrete
desire,45,concrete
excitement,70,concrete
lemon,79,concrete
pheasant,86,abstract
bone,85,concrete
relief,61,abstract
relief,82,abstract
toe,39,abstract
rose,100,concrete
corpse,72,abstract
shampoo,69,abstract
gloom,64,abstract
heroism,4,abstract
pain,79,concrete
fish,57,abstract
lemon,100,concrete
barley,31,abstract
appearance,32,abstract
rock,72,concrete
success,70,concrete
optimism,21,abstract
computer,97,concrete
barley,80,abstract
temptation,29,abstract
fork,63,concrete
belt,19,concrete
urge,30,abstract
toe,91,abstract
desire,56,concrete
urge,96,abstract
chalk,74,concrete
optimism,81,abstract
romance,66,concrete
pain,77,concrete
playfulness,42,abstract
pain,91,concrete
heaven,60,concrete
lemon,88,concrete
fork,68,concrete
heaven,90,concrete
belt,34,concrete
robin,40,concrete
chalk,23,concrete
corpse,53,abstract
corpse,20,abstract
sadness,53,concrete
romance,91,concrete
appearance,0,abstract
sadness,99,concrete
urge,92,abstract
optimism,73,abstract
gloom,56,abstract
barley,59,abstract
divinity,93,abstract
playfulness,100,abstract
appearance,98,abstract
mansion,43,abstract
shampoo,69,abstract
relief,1,abstract
heaven,0,concrete
pain,26,concrete
fish,71,abstract
loyal,46,abstract
heroism,38,abstract
pheasant,1,abstract
heroism,77,abstract
tarantula,95,concrete
romance,73,concrete
excitement,93,concrete
playfulness,8,abstract
rose,74,concrete
sun,79,concrete
barley,95,abstract
energy,90,concrete
shampoo,93,abstract
fork,96,concrete
mansion,94,abstract
boat,40,abstract
robin,79,concrete
success,100,concrete
robin,97,concrete
sadness,45,concrete
sun,100,concrete
rock,87,concrete
rose,53,concrete
corpse,100,abstract
mansion,0,abstract
computer,57,concrete
rose,100,concrete
optimism,54,abstract
corpse,74,abstract
pheasant,25,abstract
urge,0,abstract
robin,100,concrete
fish,0,abstract
loyal,92,abstract
faith,2,abstract
belt,100,concrete
divinity,39,abstract
toe,80,abstract
staple,42,concrete
ache,91,concrete
shampoo,0,abstract
excitement,2,concrete
sun,100,concrete
chalk,10,concrete
desire,99,concrete
energy,13,concrete
energy,77,concrete
faith,84,abstract
lemon,73,concrete
tarantula,86,concrete
gloom,94,abstract
mansion,84,abstract
chalk,92,concrete
appearance,22,abstract
temptation,100,abstract
computer,61,concrete
fish,70,abstract
success,79,concrete
barley,79,abstract
temptation,81,abstract
relief,77,abstract
shampoo,75,abstract
success,73,concrete
playfulness,42,abstract
staple,60,concrete
lemon,76,concrete
gloom,23,abstract
lemon,91,concrete
faith,15,abstract
mansion,85,abstract
rose,92,concrete
urge,66,abstract
chalk,60,concrete
romance,78,concrete
sadness,35,concrete
divinity,28,abstract
pheasant,21,abstract
loyal,67,abstract
pain,15,concrete
robin,94,concrete
tarantula,37,concrete
barley,8,abstract
bone,59,concrete
energy,58,concrete
sun,67,concrete
