word,variance
chalk,507.87770911820746
elephant,659.2100424123923
mirror,667.2740077700632
bone,692.3303722416595
tomato,699.996256025592
sun,733.0424373985342
ocean,760.2940374386301
road,766.0547627365492
lemon,782.1832587623649
jeans,783.6428533963849
fire,830.9224212419788
skin,834.3421211461294
fork,865.2020928541956
spinach,893.0624581284694
vegetable,914.6452966033825
rose,948.0264573193615
window,966.6343117621385
cockroach,988.142619121581
tree,1008.5231807237315
stethoscope,1025.8370036347646
cigar,1052.5571910715214
rock,1069.031509000786
computer,1072.0033250477475
vagueness,1087.3491960854299
panther,1112.7836324277123
hammer,1121.2059184719446
suit,1121.557832304933
needle,1126.9532619985314
toilet,1128.3093308503185
clarity,1136.5841437830875
iron,1155.1033741783178
moose,1164.9311819959598
staple,1180.078924656407
microscope,1197.0804798304969
belt,1208.324931110477
hell,1217.4688913313232
toast,1220.7665195818113
weapon,1242.1149760476571
bread,1256.6567565248392
otter,1263.870313508868
sadness,1282.124555073259
tripod,1291.6283961173713
tortoise,1319.1981187195033
dream,1342.7502652803628
kangaroo,1349.4438492527406
razor,1368.8837484542457
unicorn,1401.6370418460801
cabinet,1405.488634676109
shyness,1419.9994810407297
flesh,1423.3307955452167
wilderness,1423.9021326912807
warehouse,1431.8890345968412
dread,1433.9628894639584
shoes,1453.132469404089
chair,1462.172555826014
heaven,1467.54047774286
love,1468.1384156641393
earphones,1469.4703633401618
shampoo,1482.3736124098023
cow,1495.3305604694663
ferret,1505.6344348984906
daffodil,1506.8301082889416
train,1509.6715470569584
hate,1516.450743012633
tarantula,1532.634841857251
hill,1532.9169972303166
leg,1549.6731800984492
modesty,1563.069992871747
badger,1564.3118083363997
gloom,1566.0556688723068
toe,1571.0702808241567
inflamation,1575.8947791503745
romance,1577.9899668001303
despair,1578.8119471539958
building,1603.9798724559566
disgust,1616.986770070191
couch,1641.325855104095
windmill,1673.9994984657983
gist,1675.3947936694267
corpse,1692.584436614452
seat,1702.6372092574848
hawk,1706.2799117096504
weariness,1714.9696421534127
hairdryer,1723.4155953198283
notion,1753.9684573703553
theory,1761.2795421816986
lobster,1762.0247728150641
insect,1763.825892077139
pain,1766.949238345464
cornflour,1773.620674743332
thoughtlessness,1775.3121630848561
boat,1788.4617144111073
discretion,1810.992031446943
mysterious,1812.4523673996619
berry,1816.933068350636
bunkbed,1822.2741078893237
chest,1823.5476501500789
suffering,1830.8922920685345
canyon,1831.702900368829
shirt,1838.0455901522419
book,1853.9109625690146
drums,1867.9088266507813
noun,1890.8721353477724
wisdom,1919.881039870013
elegance,1921.8718877203019
relief,1931.3617413050297
crab,1932.2720304622321
fear,1944.3951483583119
trouble,1945.9733964810705
beauty,1946.4828231640267
memory,1949.2774467725662
tendency,1953.5474325957462
tie,1961.2931581130422
muscle,1961.6172669854031
revolt,1998.2607553567118
appearance,2010.0425706424185
barley,2016.998653538535
stomach,2021.3576787275422
harp,2030.837233848941
imagination,2033.4156440779866
purse,2038.3268293071424
pheasant,2044.7703125570004
viciousness,2049.600308715969
prune,2064.8296473225537
bus,2065.9826126229673
fish,2076.549758608365
divinity,2079.947963129436
equality,2080.755511284216
opinion,2091.575973765871
magazine,2092.8471236920814
passion,2093.099797957418
necklace,2095.079096597806
sanity,2106.5254561109546
ache,2109.082517141049
regret,2111.007748508533
reassurance,2112.436535330045
thistle,2132.7972591307434
discomfort,2137.481583868784
apple,2146.2127383839534
mansion,2155.6203687388133
misconception,2156.666000221694
blessing,2162.673782512934
horn,2165.4915928576947
chaos,2184.0175026805596
bracelet,2219.970983728055
democracy,2231.458916109221
embarrassment,2236.5458443008683
magic,2271.8823889239675
oddity,2274.859277472318
randomness,2282.748989045834
obligation,2291.457113170709
grape,2294.994860011522
reality,2304.1783687619536
glamour,2316.2848737098047
adoration,2333.036274935317
humiliation,2333.8650779853147
responsibility,2335.205474955629
noblity,2362.3277866277617
communication,2369.9898663331414
glee,2371.1158802907967
insanity,2392.4235924099626
complexity,2401.741733168098
faith,2420.2649449732307
diversity,2420.886733858041
justice,2420.9267178535583
obviousness,2424.9995015155982
friendliness,2446.1359361398904
peculiarity,2468.102454899872
absurdity,2475.7201493181246
optimism,2501.2123502956356
verb,2515.7272376257615
admiration,2527.5239126025226
gossip,2542.3225305412325
defiance,2582.126771329232
anxiety,2590.0580738948174
loyal,2599.5732858523734
surprise,2624.676415019071
diner,2631.439084814916
positivity,2649.1915852232223
playfulness,2657.490010185014
joy,2664.2376549915502
craziness,2688.0621053687287
desire,2712.9373636281516
jealousy,2727.9294438325946
happiness,2737.9729864619867
temptation,2750.343933946532
ego,2769.2850558358914
butterfly,2786.699932148361
flag,2797.8835831913957
energy,2830.2041099212224
speed,2899.336905156827
urge,2926.0215732878014
pride,2962.069277571615
success,2985.226996361849
heroism,2987.7257278856687
freedom,2988.1486046901973
robin,3005.635745961869
fame,3092.9776228141222
excitement,3125.639717670944
