word1,word2,JSdivergence
lemon,lemon,0.0
lemon,sun,0.18874829784031685
lemon,tomato,0.9596280067161034
lemon,fire,0.850773046330046
lemon,apple,0.873165147969209
lemon,spinach,0.8816020063413155
lemon,vegetable,0.7434834118300273
lemon,tree,0.8389685526343041
lemon,daffodil,0.1464262614531847
lemon,bone,0.85925119870599
lemon,rose,0.945826125111784
lemon,hell,0.9473005926583145
lemon,chalk,0.9226530347485561
lemon,bus,0.19673737557241303
lemon,lobster,0.8721272902716521
lemon,love,0.9194300625881744
lemon,skin,0.6705272810426247
lemon,jeans,0.9335150323919454
lemon,panther,0.9011313922885933
lemon,inflamation,0.9417107774496312
lemon,road,0.9441976436708831
lemon,hate,0.9356475783217082
lemon,cornflour,0.27125649932853085
lemon,flesh,0.7529436554455975
lemon,cigar,0.9071166993218241
lemon,ocean,0.921276665349142
lemon,elephant,0.9567790478581335
lemon,romance,0.948382015808138
lemon,toilet,0.9123707305872396
lemon,moose,0.9217474747658627
lemon,cockroach,0.9332013391205443
lemon,bread,0.6607236709293018
lemon,toast,0.7324640099082134
lemon,pain,0.9062631487942967
lemon,weapon,0.938247425802049
lemon,mirror,0.8609690159003245
lemon,grape,0.8847645445335017
lemon,hill,0.8004079234667756
lemon,crab,0.8269200268496953
lemon,flag,0.8990219129276302
lemon,belt,0.8985172137079018
lemon,fork,0.8830403616561552
lemon,revolt,0.9077212461273121
lemon,berry,0.9478368182253085
lemon,cow,0.8924782658568937
lemon,passion,0.8849265641865611
lemon,kangaroo,0.7477335117647405
lemon,trouble,0.8814340675738652
lemon,viciousness,0.8958377951848033
lemon,window,0.8331340370502678
lemon,wilderness,0.7827464050607704
lemon,rock,0.9366116291477413
lemon,suit,0.9201435370197841
lemon,democracy,0.8411983777078005
lemon,hammer,0.9398275881007527
lemon,needle,0.8114116867987471
lemon,iron,0.9324799987057991
lemon,cabinet,0.8695344906247893
lemon,energy,0.4610575167873099
lemon,fear,0.8544400266439418
lemon,prune,0.8753768424723157
lemon,sadness,0.9468259859662123
lemon,happiness,0.37428516575375287
lemon,tortoise,0.8601516988469913
lemon,clarity,0.8101300750004929
lemon,jealousy,0.8649272212959459
lemon,staple,0.870603978465355
lemon,joy,0.45445409505417955
lemon,computer,0.9385208367121631
lemon,dread,0.9233067655499476
lemon,otter,0.9407140328053353
lemon,stethoscope,0.8664421874473422
lemon,heaven,0.6717161863945454
lemon,badger,0.9082845341652106
lemon,tarantula,0.8841771154935405
lemon,chair,0.8868750544472525
lemon,tripod,0.8724237857898189
lemon,glamour,0.7551572164619814
lemon,embarrassment,0.8775710444188607
lemon,defiance,0.7964187677104477
lemon,success,0.6467371754239395
lemon,razor,0.8671942017374101
lemon,ache,0.900488259379582
lemon,butterfly,0.49733396810094166
lemon,vagueness,0.845251135148526
lemon,microscope,0.8848959187620513
lemon,suffering,0.8952163029807206
lemon,earphones,0.8190461233055613
lemon,robin,0.8610653401005453
lemon,unicorn,0.765046834434399
lemon,shoes,0.8961204558465343
lemon,necklace,0.5650409507768863
lemon,leg,0.673683341640434
lemon,speed,0.6660330331887696
lemon,train,0.8802516139629902
lemon,barley,0.6788083452860276
lemon,toe,0.7474785118190335
lemon,canyon,0.8005428865741409
lemon,ferret,0.8571782209536816
lemon,desire,0.845117192982233
lemon,glee,0.4393531032471981
lemon,freedom,0.7586062256272679
lemon,disgust,0.8337514043712042
lemon,warehouse,0.8556352291676876
lemon,fame,0.5077263319387574
lemon,excitement,0.5332698382837637
lemon,corpse,0.8691671898287492
lemon,horn,0.4867575333383374
lemon,insect,0.772330141464862
lemon,chest,0.6690786740963122
lemon,hawk,0.7993366577951122
lemon,surprise,0.516836306871665
lemon,shyness,0.7659644624782505
lemon,positivity,0.4748368489176492
lemon,dream,0.8321351448184775
lemon,despair,0.905311796003361
lemon,shampoo,0.7504486051706887
lemon,harp,0.5327525661860744
lemon,chaos,0.8692941986195586
lemon,temptation,0.7885055945264647
lemon,muscle,0.7377293922958057
lemon,shirt,0.8663822782824155
lemon,building,0.8944738587028995
lemon,windmill,0.6858660039017789
lemon,adoration,0.8156972172157266
lemon,anxiety,0.743346267021207
lemon,gloom,0.8534263170468301
lemon,optimism,0.5959182649470752
lemon,divinity,0.5782634759170283
lemon,boat,0.8333088042459124
lemon,heroism,0.6989339938413779
lemon,relief,0.7393345636477956
lemon,discomfort,0.7702066715525033
lemon,bunkbed,0.8662877281730909
lemon,craziness,0.7278448393846604
lemon,bracelet,0.5416034796882946
lemon,fish,0.7429597126063643
lemon,tie,0.8489498898070491
lemon,loyal,0.7448597751476822
lemon,friendliness,0.56447085287444
lemon,noblity,0.8050306394986932
lemon,blessing,0.64396293448797
lemon,faith,0.5823181507192404
lemon,drums,0.8147013077248229
lemon,playfulness,0.6819437468862991
lemon,seat,0.8184747554444025
lemon,insanity,0.767557342739213
lemon,couch,0.8713852629751628
lemon,urge,0.7301093284773255
lemon,communication,0.6945603894793924
lemon,beauty,0.8187848920403142
lemon,pride,0.6995493295519928
lemon,verb,0.7498202652008222
lemon,thistle,0.8096331519109621
lemon,memory,0.7814070367349919
